Model,Split,R2,RMSE
Linear,80/20,-2.616717988792986,6.209246816917348
Ridge,80/20,-0.17005174060091388,3.531702670310063
Lasso,80/20,-0.036035520857629955,3.323295220985796
Kernel Ridge,80/20,0.09429425828937865,3.1072425878049943
GPR,80/20,0.06864028238520625,3.1509413923630163
Linear,85/15,-1.233920150084185,5.451355042653499
Ridge,85/15,-0.08717712804860778,3.80295160746789
Lasso,85/15,-0.00966044408610589,3.6648678270788615
Kernel Ridge,85/15,0.06940413907974341,3.518448541844992
GPR,85/15,0.0069266348343868245,3.634639252553745
Linear,90/10,-1.4705058277817669,6.854669362159842
Ridge,90/10,-0.036846946240823186,4.440694496755025
Lasso,90/10,-0.0011966317195619691,4.363683664353617
Kernel Ridge,90/10,0.025421158701769975,4.305286517106746
GPR,90/10,-0.00026207579028447725,4.3616465727259355
