Model,Split,R2,RMSE
Linear,80/20,-0.4991296678069621,3.997617150995553
Ridge,80/20,-0.24862644301349235,3.6483615011457773
Lasso,80/20,-0.036035520857629955,3.323295220985796
Kernel Ridge,80/20,0.0408406981665691,3.1976208838988
GPR,80/20,0.0003834796340864699,3.2643619929162595
Linear,85/15,-0.39749717367362125,4.311675961782972
Ridge,85/15,-0.15810425880995682,3.9250435050622445
Lasso,85/15,-0.00966044408610589,3.6648678270788615
Kernel Ridge,85/15,0.03615953515022785,3.5807435897482405
GPR,85/15,-0.005384656900642604,3.6570994627043754
Linear,90/10,-0.32704243332113636,5.02384202948184
Ridge,90/10,-0.08868029151262102,4.550338974691319
Lasso,90/10,-0.0011966317195619691,4.363683664353617
Kernel Ridge,90/10,-0.0019036394500966392,4.3652241277965125
GPR,90/10,-0.022216231156768185,4.409252361618078
