Model,Split,R2,RMSE
Linear,80/20,-0.2662213768141002,3.6739768952466054
Ridge,80/20,-0.22784555495321657,3.6178742816734366
Lasso,80/20,-0.036035520857629955,3.323295220985796
Kernel Ridge,80/20,-0.08926227574037848,3.407593896911087
GPR,80/20,0.03377443220274823,3.209377938520699
Linear,85/15,-0.10468011149367085,3.833442143495216
Ridge,85/15,-0.08504770540018103,3.799225415876041
Lasso,85/15,-0.00966044408610589,3.6648678270788615
Kernel Ridge,85/15,-0.1374143327620685,3.8898243778680848
GPR,85/15,-0.032138140894466094,3.7054380680066714
Linear,90/10,-0.024996925168142337,4.415245445300429
Ridge,90/10,-0.01793753758052752,4.400014774547181
Lasso,90/10,-0.0011966317195619691,4.363683664353617
Kernel Ridge,90/10,-0.18776469609314828,4.752901086506923
GPR,90/10,-0.005817528958589557,4.37374208866257
