Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Ridge,85/15,0.14661321400917537,1.4131978651113097
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Lasso,85/15,0.1331371467457204,1.424312258945434
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Kernel Ridge,85/15,0.2817779977561351,1.2964607358084812
Rg w/no norm,No regr out,Inliers,ProtBERT,20,GPR,85/15,0.3239329564709491,1.2578385437720603
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Linear,90/10,-0.06280897955108489,1.5471173095230788
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Ridge,90/10,0.06348679586602357,1.4522874690716896
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Lasso,90/10,-0.028140770999969922,1.5216750799404435
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Kernel Ridge,90/10,0.16997037599231402,1.3672326910857937
Rg w/no norm,No regr out,Inliers,ProtBERT,20,GPR,90/10,0.3997125395242268,1.1627203492772091
Rg w/no norm,No regr out,All,ProtBERT,50,Linear,80/20,-1.799785177445128,2.489915260102591
Rg w/no norm,No regr out,All,ProtBERT,50,Ridge,80/20,-0.033676046481136535,1.5129146842090027
Rg w/no norm,No regr out,All,ProtBERT,50,Lasso,80/20,0.15592435624790957,1.3671397043789468
Rg w/no norm,No regr out,All,ProtBERT,50,Kernel Ridge,80/20,-0.18894473597728734,1.622568521038487
Rg w/no norm,No regr out,All,ProtBERT,50,GPR,80/20,-1.547198907364037,2.3749454664253133
Rg w/no norm,No regr out,All,ProtBERT,50,Linear,85/15,-1.6456350805143916,2.5074604665428915
Rg w/no norm,No regr out,All,ProtBERT,50,Ridge,85/15,-0.2073682950990896,1.6939048358710347
Rg w/no norm,No regr out,All,ProtBERT,50,Lasso,85/15,0.0718822858681829,1.4851511473691197
Rg w/no norm,No regr out,All,ProtBERT,50,Kernel Ridge,85/15,-0.38649055039117153,1.815212950035791
Rg w/no norm,No regr out,All,ProtBERT,50,GPR,85/15,-1.788182981351527,2.5741257570060925
Rg w/no norm,No regr out,All,ProtBERT,50,Linear,90/10,-1.5472567162362685,1.9691793379691616
Rg w/no norm,No regr out,All,ProtBERT,50,Ridge,90/10,-0.15593297576399712,1.3265243878573492
Rg w/no norm,No regr out,All,ProtBERT,50,Lasso,90/10,0.18995901010982053,1.1104586976430544
Rg w/no norm,No regr out,All,ProtBERT,50,Kernel Ridge,90/10,-0.5492257477283811,1.5356995793698613
Rg w/no norm,No regr out,All,ProtBERT,50,GPR,90/10,-1.9198093024285323,2.1082696466363524
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Linear,80/20,0.37292669495631625,1.3333782954476503
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Ridge,80/20,0.43547855146760217,1.2651279443518444
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Lasso,80/20,0.3705567088461539,1.3358956309828347
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Kernel Ridge,80/20,0.46438335837656874,1.2323136413877578
Rg w/no norm,No regr out,Inliers,ProtBERT,50,GPR,80/20,0.41981582869558376,1.2825584403267583
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Linear,85/15,0.33984128313374495,1.242951540181835
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Ridge,85/15,0.3766532515845388,1.2077995541168742
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Lasso,85/15,0.2807028675289678,1.297430730378963
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Kernel Ridge,85/15,0.4788299095342824,1.104383114141876
Rg w/no norm,No regr out,Inliers,ProtBERT,50,GPR,85/15,0.3517561979331021,1.2316837234336675
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Linear,90/10,0.09672934072959127,1.4262793331421628
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Ridge,90/10,0.32757281336567334,1.230603850302088
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Lasso,90/10,0.23061339338298892,1.3163396060809307
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Kernel Ridge,90/10,0.39960802254722694,1.16282156638966
Rg w/no norm,No regr out,Inliers,ProtBERT,50,GPR,90/10,0.32167701067124377,1.2359870079551252
Rg w/no norm,No regr out,All,ProtBERT,100,Linear,80/20,-17.331175784657706,6.371143293749528
Rg w/no norm,No regr out,All,ProtBERT,100,Ridge,80/20,-0.15349617679800476,1.598196928260348
Rg w/no norm,No regr out,All,ProtBERT,100,Lasso,80/20,0.14119158333307258,1.3790193430741267
Rg w/no norm,No regr out,All,ProtBERT,100,Kernel Ridge,80/20,-0.20640211910796746,1.6344372725133365
Rg w/no norm,No regr out,All,ProtBERT,100,GPR,80/20,-1.858094512980767,2.515709588126947
Rg w/no norm,No regr out,All,ProtBERT,100,Linear,85/15,-17.67194955840281,6.6613761372001195
Rg w/no norm,No regr out,All,ProtBERT,100,Ridge,85/15,-0.3176017986136579,1.769543379901904
Rg w/no norm,No regr out,All,ProtBERT,100,Lasso,85/15,0.054470283584374335,1.4990175432301154
Rg w/no norm,No regr out,All,ProtBERT,100,Kernel Ridge,85/15,-0.38941996686304714,1.8171295548509816
Rg w/no norm,No regr out,All,ProtBERT,100,GPR,85/15,-2.1449080944886822,2.7338400617549903
Rg w/no norm,No regr out,All,ProtBERT,100,Linear,90/10,-12.902791112282282,4.600445721099487
Rg w/no norm,No regr out,All,ProtBERT,100,Ridge,90/10,-0.3237803535638726,1.4195702128689274
Rg w/no norm,No regr out,All,ProtBERT,100,Lasso,90/10,0.19821100120627821,1.104788026369651
Rg w/no norm,No regr out,All,ProtBERT,100,Kernel Ridge,90/10,-0.4169863084343104,1.4686954152440368
Rg w/no norm,No regr out,All,ProtBERT,100,GPR,90/10,-1.9646205357987272,2.1243861849726056
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Linear,80/20,-3.2102706357753927,3.455009386205758
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Ridge,80/20,0.4564725248608845,1.2413806633073623
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Lasso,80/20,0.3979417993372687,1.3065121810227303
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Kernel Ridge,80/20,0.4876607480204137,1.2052386211228099
Rg w/no norm,No regr out,Inliers,ProtBERT,100,GPR,80/20,0.47566877959606113,1.219262127095775
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Linear,85/15,-3.6231663631731887,3.2892719126671057
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Ridge,85/15,0.4039173511211086,1.1810907164536177
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Lasso,85/15,0.27460769671334506,1.302916210137327
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Kernel Ridge,85/15,0.5239745587574053,1.055468065883103
Rg w/no norm,No regr out,Inliers,ProtBERT,100,GPR,85/15,0.4733450077012843,1.1101792822019716
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Linear,90/10,-7.273990756843755,4.316712782341669
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Ridge,90/10,0.3768350334291516,1.1846693503835963
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Lasso,90/10,0.08490839149702079,1.4355817346561859
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Kernel Ridge,90/10,0.47917666528191205,1.0830309172039416
Rg w/no norm,No regr out,Inliers,ProtBERT,100,GPR,90/10,0.41721792552151915,1.1456414812667277
Rg w/no norm,No regr out,All,ProtBERT,190,Linear,80/20,-6.053426122453021,3.9520485655273707
Rg w/no norm,No regr out,All,ProtBERT,190,Ridge,80/20,-0.1218785466114447,1.5761412434037803
Rg w/no norm,No regr out,All,ProtBERT,190,Lasso,80/20,0.14126595296360867,1.3789596327956641
Rg w/no norm,No regr out,All,ProtBERT,190,Kernel Ridge,80/20,-0.14670067594614355,1.5934823086674486
Rg w/no norm,No regr out,All,ProtBERT,190,GPR,80/20,-1.4376973055232543,2.3233364210274363
Rg w/no norm,No regr out,All,ProtBERT,190,Linear,85/15,-6.341212314842926,4.176889791756092
Rg w/no norm,No regr out,All,ProtBERT,190,Ridge,85/15,-0.2857430966122043,1.7480193057051014
Rg w/no norm,No regr out,All,ProtBERT,190,Lasso,85/15,0.05455020091113438,1.4989541924944347
Rg w/no norm,No regr out,All,ProtBERT,190,Kernel Ridge,85/15,-0.3173523063377788,1.7693758375128308
Rg w/no norm,No regr out,All,ProtBERT,190,GPR,85/15,-1.7785604636479433,2.5696800339590578
Rg w/no norm,No regr out,All,ProtBERT,190,Linear,90/10,-10.887339523698083,4.253938880245218
Rg w/no norm,No regr out,All,ProtBERT,190,Ridge,90/10,-0.2567102383124322,1.3831411072081436
Rg w/no norm,No regr out,All,ProtBERT,190,Lasso,90/10,0.1982429343780302,1.1047660257328704
Rg w/no norm,No regr out,All,ProtBERT,190,Kernel Ridge,90/10,-0.3098847390812236,1.412100001187695
Rg w/no norm,No regr out,All,ProtBERT,190,GPR,90/10,-1.7391422761932662,2.0420022094279893
