Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ProtBERT,10,Linear,80/20,0.27657855084656646,2.0102260292674683
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,80/20,0.2519363436837204,2.0441769142059156
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,80/20,0.26023678711565723,2.032804282142892
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,80/20,0.5377912540921019,1.6068238930432304
Rg w/no norm,No regr out,All,ProtBERT,10,GPR,80/20,0.44999587549963804,1.752799233482916
Rg w/no norm,No regr out,All,ProtBERT,10,Linear,85/15,-0.26870831819894336,1.5198741803574933
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,85/15,-0.22882822382099666,1.4957958792910697
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,85/15,-0.18022663359826452,1.4659172287252664
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,85/15,0.25941569473972426,1.1612186322402565
Rg w/no norm,No regr out,All,ProtBERT,10,GPR,85/15,-0.04905712457229461,1.382058137501618
Rg w/no norm,No regr out,All,ProtBERT,10,Linear,90/10,0.06936221325952119,0.9616030261194689
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,90/10,0.0698558602582704,0.9613479561984976
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,90/10,0.05547470635833884,0.968751251315727
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,90/10,-0.7475371823088164,1.3177065136664177
Rg w/no norm,No regr out,All,ProtBERT,10,GPR,90/10,-1.3298135315707587,1.5214793484393005
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Linear,80/20,0.2687010969915493,1.4042682228933265
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Ridge,80/20,0.2671445198674547,1.4057619280439744
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Lasso,80/20,0.26517264618523606,1.4076518796806021
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Kernel Ridge,80/20,0.3299875011491181,1.3441386201849082
Rg w/no norm,No regr out,Inliers,ProtBERT,10,GPR,80/20,0.17747823295544252,1.489279828574399
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Linear,85/15,0.298667584483181,1.2776345768717192
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Ridge,85/15,0.29833911565215554,1.277933731738146
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Lasso,85/15,0.2986626288985441,1.2776390907191875
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Kernel Ridge,85/15,0.29017359069648385,1.285348151052803
Rg w/no norm,No regr out,Inliers,ProtBERT,10,GPR,85/15,-0.16634526715708442,1.6476245946045651
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Linear,90/10,0.38708082678591826,1.1902315409156738
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Ridge,90/10,0.3821394448805262,1.1950197596528196
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Lasso,90/10,0.3870704888884501,1.1902415784869294
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Kernel Ridge,90/10,0.5257414713279748,1.0469776867730465
Rg w/no norm,No regr out,Inliers,ProtBERT,10,GPR,90/10,0.5537449380925963,1.015597045904538
Rg w/no norm,No regr out,All,ProtBERT,20,Linear,80/20,0.469162906038489,1.7219868593096104
Rg w/no norm,No regr out,All,ProtBERT,20,Ridge,80/20,0.407521079380743,1.8192218069012729
Rg w/no norm,No regr out,All,ProtBERT,20,Lasso,80/20,0.3901442645482006,1.8457069933367585
Rg w/no norm,No regr out,All,ProtBERT,20,Kernel Ridge,80/20,0.5263675855429782,1.626559333151867
Rg w/no norm,No regr out,All,ProtBERT,20,GPR,80/20,0.5895646891038959,1.514159271342016
Rg w/no norm,No regr out,All,ProtBERT,20,Linear,85/15,-0.014507567670586585,1.3591093152292548
Rg w/no norm,No regr out,All,ProtBERT,20,Ridge,85/15,-0.03415117055625383,1.3722042419575438
Rg w/no norm,No regr out,All,ProtBERT,20,Lasso,85/15,-0.05057866515044451,1.383060035086885
Rg w/no norm,No regr out,All,ProtBERT,20,Kernel Ridge,85/15,0.27795922043885757,1.14658856662257
Rg w/no norm,No regr out,All,ProtBERT,20,GPR,85/15,-0.3871524346243056,1.5892376230546688
Rg w/no norm,No regr out,All,ProtBERT,20,Linear,90/10,0.43440942514834135,0.7496465766425539
Rg w/no norm,No regr out,All,ProtBERT,20,Ridge,90/10,0.4046931436604654,0.7690878004802425
Rg w/no norm,No regr out,All,ProtBERT,20,Lasso,90/10,0.4134007906554452,0.7634422959146755
Rg w/no norm,No regr out,All,ProtBERT,20,Kernel Ridge,90/10,-0.3825162736751102,1.172035068189308
Rg w/no norm,No regr out,All,ProtBERT,20,GPR,90/10,-1.8428816552096623,1.680679375983666
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Linear,80/20,0.2640605935527096,1.4087166135763292
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Ridge,80/20,0.27162976530512295,1.4014535313800756
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Lasso,80/20,0.2374597602023648,1.4339499418186274
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Kernel Ridge,80/20,0.3268521234898297,1.3472799521188739
Rg w/no norm,No regr out,Inliers,ProtBERT,20,GPR,80/20,0.22378847805851387,1.4467471978703965
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Linear,85/15,0.24131952985178196,1.3288444681166414
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Ridge,85/15,0.24432649136196927,1.3262084761384956
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Lasso,85/15,0.16307836912375828,1.395683990373333
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Kernel Ridge,85/15,0.10420311054210585,1.4439410909873664
Rg w/no norm,No regr out,Inliers,ProtBERT,20,GPR,85/15,-0.13035630301351464,1.6220057171242044
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Linear,90/10,0.5273913551344127,1.045154950450779
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Ridge,90/10,0.46454818639823225,1.112474457179536
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Lasso,90/10,0.412230619527153,1.1655564989274783
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Kernel Ridge,90/10,0.6389461623295594,0.9135153178666826
Rg w/no norm,No regr out,Inliers,ProtBERT,20,GPR,90/10,0.6546597507051822,0.8934154331736397
Rg w/no norm,No regr out,All,ProtBERT,50,Linear,80/20,0.23611431736035882,2.0656816262604822
Rg w/no norm,No regr out,All,ProtBERT,50,Ridge,80/20,0.5425206148781953,1.5985821742112498
Rg w/no norm,No regr out,All,ProtBERT,50,Lasso,80/20,0.09583164255614818,2.247366245280257
Rg w/no norm,No regr out,All,ProtBERT,50,Kernel Ridge,80/20,0.5494215851576252,1.5864792378565744
Rg w/no norm,No regr out,All,ProtBERT,50,GPR,80/20,0.6362018483256018,1.4255401236917629
Rg w/no norm,No regr out,All,ProtBERT,50,Linear,85/15,-0.6158881635942972,1.7152696113504775
Rg w/no norm,No regr out,All,ProtBERT,50,Ridge,85/15,0.05304820862987647,1.3130784643807096
Rg w/no norm,No regr out,All,ProtBERT,50,Lasso,85/15,0.05701152408799648,1.3103277431049885
Rg w/no norm,No regr out,All,ProtBERT,50,Kernel Ridge,85/15,0.24586500278238277,1.171794057952662
Rg w/no norm,No regr out,All,ProtBERT,50,GPR,85/15,-0.1295819482436431,1.4341204056287407
Rg w/no norm,No regr out,All,ProtBERT,50,Linear,90/10,-1.3600961099333424,1.5313354088740059
Rg w/no norm,No regr out,All,ProtBERT,50,Ridge,90/10,0.25595542210921696,0.8598148831025847
Rg w/no norm,No regr out,All,ProtBERT,50,Lasso,90/10,0.3280218926844779,0.8171147353040513
Rg w/no norm,No regr out,All,ProtBERT,50,Kernel Ridge,90/10,0.4156471437738314,0.7619791112172637
Rg w/no norm,No regr out,All,ProtBERT,50,GPR,90/10,-0.657126378237648,1.2831673351370618
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Linear,80/20,0.5417061527169833,1.1116667618972502
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Ridge,80/20,0.4973787777283494,1.1641877316493752
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Lasso,80/20,0.4863603304380961,1.1768791974307822
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Kernel Ridge,80/20,0.4967592323182759,1.1649050163628532
Rg w/no norm,No regr out,Inliers,ProtBERT,50,GPR,80/20,0.629367183915985,0.9997111641447834
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Linear,85/15,0.40082503256848856,1.1809228635507918
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Ridge,85/15,0.37551510665831955,1.2056067447777314
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Lasso,85/15,0.34382130770819264,1.2358215449948777
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Kernel Ridge,85/15,0.3854797562243847,1.1959493787806348
Rg w/no norm,No regr out,Inliers,ProtBERT,50,GPR,85/15,0.5101827362483262,1.0677307355039234
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Linear,90/10,0.6655928075518683,0.879159465107157
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Ridge,90/10,0.6603467271669561,0.8860286254628917
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Lasso,90/10,0.5297555215513691,1.0425375437096573
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Kernel Ridge,90/10,0.6692320184958549,0.8743626200305612
Rg w/no norm,No regr out,Inliers,ProtBERT,50,GPR,90/10,0.7532359975334686,0.7552152554206332
Rg w/no norm,No regr out,All,ProtBERT,100,Linear,80/20,-14.67203333385664,9.356466669434761
Rg w/no norm,No regr out,All,ProtBERT,100,Ridge,80/20,0.6112924364689658,1.473535818639269
Rg w/no norm,No regr out,All,ProtBERT,100,Lasso,80/20,0.09583162504857468,2.247366267038334
Rg w/no norm,No regr out,All,ProtBERT,100,Kernel Ridge,80/20,0.5424453356350663,1.5987136939145625
Rg w/no norm,No regr out,All,ProtBERT,100,GPR,80/20,0.6365712935733492,1.4248161057188593
Rg w/no norm,No regr out,All,ProtBERT,100,Linear,85/15,-5.4732637636968136,3.43311534757974
Rg w/no norm,No regr out,All,ProtBERT,100,Ridge,85/15,0.2651396263444582,1.1567224331510317
Rg w/no norm,No regr out,All,ProtBERT,100,Lasso,85/15,0.03970744278557048,1.3222955154777736
Rg w/no norm,No regr out,All,ProtBERT,100,Kernel Ridge,85/15,0.4466622699646673,1.0037415118459923
Rg w/no norm,No regr out,All,ProtBERT,100,GPR,85/15,-0.17107949438050363,1.4602255121146641
Rg w/no norm,No regr out,All,ProtBERT,100,Linear,90/10,-5.435711933816604,2.52873767206631
Rg w/no norm,No regr out,All,ProtBERT,100,Ridge,90/10,0.4516424554347839,0.7381377076915059
Rg w/no norm,No regr out,All,ProtBERT,100,Lasso,90/10,-0.17550927046658127,1.0807332406374826
Rg w/no norm,No regr out,All,ProtBERT,100,Kernel Ridge,90/10,0.41317495418566463,0.7635892416648455
Rg w/no norm,No regr out,All,ProtBERT,100,GPR,90/10,-0.7509498799749055,1.318992535119458
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Linear,80/20,-1.492858183359358,2.592694781991026
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Ridge,80/20,0.4884469850694406,1.1744862362206872
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Lasso,80/20,0.38593118088889977,1.2868002308089452
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Kernel Ridge,80/20,0.49276722148292584,1.1695162560190944
Rg w/no norm,No regr out,Inliers,ProtBERT,100,GPR,80/20,0.5705763259121764,1.0760825752917
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Linear,85/15,-0.7143084669618531,1.9975110273753558
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Ridge,85/15,0.30672211426216,1.2702768227514514
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Lasso,85/15,0.3071822962077373,1.2698551624705796
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Kernel Ridge,85/15,0.3464204621346182,1.233371543034546
Rg w/no norm,No regr out,Inliers,ProtBERT,100,GPR,85/15,0.42753827466981975,1.154297959799253
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Linear,90/10,0.049458572152955016,1.4822292390837304
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Ridge,90/10,0.6839676466468312,0.8546644187272638
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Lasso,90/10,0.534862180641144,1.0368613296587994
Rg w/no norm,No regr out,Inliers,ProtBERT,100,Kernel Ridge,90/10,0.6684124154494153,0.8754452322020715
Rg w/no norm,No regr out,Inliers,ProtBERT,100,GPR,90/10,0.7903593579898323,0.6960935214258938
Rg w/no norm,No regr out,All,ProtBERT,190,Linear,80/20,-0.8501903542882661,3.2148255239482104
Rg w/no norm,No regr out,All,ProtBERT,190,Ridge,80/20,0.6103136138761021,1.4753899416712073
Rg w/no norm,No regr out,All,ProtBERT,190,Lasso,80/20,0.0958316250211062,2.2473662670724712
Rg w/no norm,No regr out,All,ProtBERT,190,Kernel Ridge,80/20,0.5404402703908837,1.6022127525262282
Rg w/no norm,No regr out,All,ProtBERT,190,GPR,80/20,-2.134251912820753,4.184235803191967
Rg w/no norm,No regr out,All,ProtBERT,190,Linear,85/15,-3.4334461019698406,2.841171569068292
Rg w/no norm,No regr out,All,ProtBERT,190,Ridge,85/15,0.23623675788235254,1.179250638777986
Rg w/no norm,No regr out,All,ProtBERT,190,Lasso,85/15,0.03972080923565713,1.322286312835111
