Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ProtBERT,10,Linear,80/20,-1.351106054154751,1.692557142760355
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,80/20,-1.2612349208063787,1.6598929175373827
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,80/20,-1.1053253427527459,1.6016471274030442
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,80/20,-0.24148685193811437,1.229924045572894
Rg w/no norm,No regr out,All,ProtBERT,10,GPR,80/20,-0.5148781775706845,1.3586139975309388
Rg w/no norm,No regr out,All,ProtBERT,10,Linear,85/15,-1.0321436724171877,1.6499857150239594
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,85/15,-1.0181953339864425,1.6443133337507818
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,85/15,-0.9160662293771102,1.602168680753118
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,85/15,-0.08803626263201192,1.2073263093288071
Rg w/no norm,No regr out,All,ProtBERT,10,GPR,85/15,-0.22089864115058422,1.2789182502051728
Rg w/no norm,No regr out,All,ProtBERT,10,Linear,90/10,-0.8159166212616153,1.5738023548811921
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,90/10,-0.7543752796499159,1.546904448993112
Rg w/no norm,No regr out,All,ProtBERT,10,Lasso,90/10,-0.698293219556908,1.5219787077273725
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,90/10,-0.3416242333160111,1.352750446675787
Rg w/no norm,No regr out,All,ProtBERT,10,GPR,90/10,-0.761866148550459,1.550203433991594
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Linear,80/20,-0.3866910336749567,1.3077818997979065
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Ridge,80/20,-0.29390108629599143,1.2632694898334922
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Lasso,80/20,-0.3866669414732806,1.3077705391265797
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Kernel Ridge,80/20,-0.5240494581030484,1.3710238160567156
Rg w/no norm,No regr out,Inliers,ProtBERT,10,GPR,80/20,-1.1287593411765893,1.620349695705967
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Linear,85/15,-0.27095836417621055,1.3000923486947091
Rg w/no norm,No regr out,Inliers,ProtBERT,10,Ridge,85/15,-0.2514436282670933,1.2900727040274327
