Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.24834661488618637,0.10180750896551964
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-0.16375164970851963,0.0982974772553668
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.08515052485392871,0.0684466095504025
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.15336139815233296,0.0658455078913861
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.10394294017114547,0.067739962498617
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.017294595012047553,0.07093960914204854
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-0.13328273935992851,0.07618092753025317
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,0.0015043970933640294,0.07498700564712091
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.07358770106511181,0.07222958000125808
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,0.01819414923699436,0.07435766464737355
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.1282491867965201,0.07971048435484787
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,-0.34635352549557297,0.087074800772528
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Linear,80/20,0.10665720952223356,0.47606171630124894
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Ridge,80/20,0.10295688657897917,0.4770466471206731
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Lasso,80/20,0.05296927970757581,0.4901581442879237
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.019389862955359938,0.49877236022599786
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,GPR,80/20,0.8232089624519211,0.21177969175654096
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Linear,85/15,0.09304479289436474,0.546702734325467
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Ridge,85/15,0.09019322315790013,0.5475615074462579
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Lasso,85/15,0.0384578155157097,0.5629145805420612
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.09562790055314419,0.545923644595978
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,GPR,85/15,0.8736667460083234,0.20404087063468254
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Linear,90/10,0.05701055115452147,0.6586941112779268
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Ridge,90/10,0.05133354259650247,0.660673879430932
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Lasso,90/10,-0.009168120124213086,0.6814156840648193
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.053419099779117185,0.6599472640543135
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,GPR,90/10,0.8881780428681004,0.22682656119539615
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.2192368133931739,0.058977735400337766
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.23920895475339732,0.058218515171343826
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.24522415851957857,0.05798790573417374
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.18314535028435808,0.07260181524403682
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-0.13998877073356497,0.07126539808683648
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.06441224889353425,0.04705001839570895
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.13522392708259168,0.04523445543369323
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.09603164067762104,0.04624812697155748
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,-0.05716320466449143,0.05001365031730178
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-0.185306881830267,0.052958166032650404
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,-0.052671360083513585,0.049923051576422274
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.029147567835747124,0.04794367622657515
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,-0.023058781331628087,0.04921585271182387
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.26592177633549596,0.05474672642232832
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,-0.47506420241582337,0.05909628522034886
