Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed,Combined Score
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,20,GPR,90/10,0.7009247561370023,0.0194102910122865,2,0.6815144651247158
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,GPR,90/10,0.6863388202204754,0.0198779777310833,2,0.6664608424893921
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,GPR,90/10,0.5859331739092785,0.022838997270655,2,0.5630941766386235
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,GPR,90/10,0.3666011871053628,0.0282475272619625,2,0.3383536598434003
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,GPR,90/10,0.3613313381050804,0.0283647929199889,2,0.3329665451850915
