Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,80/20,-0.4523532908192287,1.34172932493031
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,80/20,-0.25409025159862275,1.2467896008425141
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,80/20,-0.3558745557728744,1.2963985324629987
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,-0.1596923059598394,1.1989474910420819
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,80/20,-2.2523861161507353,2.007843340631892
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,85/15,-0.7329293632856124,1.3650967863634238
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,85/15,-0.5674197055446786,1.2982719236352676
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,85/15,-0.7094887893197319,1.3558328201323213
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,-0.541478945242093,1.2874839167641599
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,85/15,-2.5692435041071238,1.9591202916360244
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,90/10,-0.5912089457787746,1.4105727920188007
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,90/10,-0.49574080124154785,1.3676030702272401
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,90/10,-0.5494909589416126,1.391958925297818
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.3205267882378743,0.9217604426957435
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,90/10,-0.05529998778028311,1.1487350260905107
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.3444201663451417,1.068675329729299
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.4079499754725152,1.0155754471835914
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.357027027386949,1.0583500870389497
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,0.36390995574028584,1.0526701065597492
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-0.2738098379208127,1.4896535995034423
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.2118514747648622,1.1061885661127033
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.31389281361943533,1.032098425786605
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.23382210339966059,1.0906613946190844
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.43696172648784104,0.9349622806965713
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-0.26649413444887093,1.4022541142733067
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,0.11130285912189108,1.1240607153507607
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.15137566460703522,1.0984255322941627
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,0.11979158515107524,1.1186793890703812
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,0.44717472448126927,0.8865573282519741
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,-0.6988888477450763,1.5541586904542781
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,Linear,80/20,-1.3228787207596118,0.1286169191053147
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,Ridge,80/20,-0.9150557604218221,0.11678190257890549
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,Lasso,80/20,-0.26296538739837017,0.09483760081725387
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.12385800554884707,0.07898999439551621
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,GPR,80/20,-4.685065633194577,0.20121139681087408
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,Linear,85/15,-1.4772277939225273,0.1257252261853132
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,Ridge,85/15,-1.0977155946893444,0.11569451158112018
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,Lasso,85/15,-0.23596840800020735,0.08880616964483602
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.1203292005833636,0.07492030582676984
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,GPR,85/15,-4.893214897356807,0.1939168699887971
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,Linear,90/10,-1.1356849812685201,0.11094255821746295
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,Ridge,90/10,-0.8526267125642009,0.10332931256632327
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,Lasso,90/10,-0.15262084113724383,0.08150285333758454
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.2856764351052463,0.0641618781135167
Rg norm w/0.421,No regr out,All,ProtBERT,high,10,GPR,90/10,-2.2580711208965,0.13702817050834665
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.10412935235501775,0.10417187469253746
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.12034242870378686,0.10322494225600605
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.0898357589363058,0.104999615917222
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,0.08113295191519643,0.10550041421409749
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-1.3631218694881166,0.16918851780881194
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,-0.04254942446571164,0.11095150409190511
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,-0.006024142083390638,0.10899060642733564
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,-0.025918776839805258,0.110063002692004
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,-0.02116409727388846,0.10980765984061029
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-1.5987376225628167,0.1751725630907859
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,-0.26743308648803055,0.10856155351668569
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,-0.16551816441382838,0.10410535093594744
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,-0.21882051540529623,0.10645925120933197
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.40428812239526346,0.11427247680185716
Rg norm w/0.421,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,-2.233920196608721,0.17341161330712718
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Linear,80/20,-1.3038368578950448,0.13846202740425437
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Ridge,80/20,-0.9009806269102816,0.12577481026338555
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Lasso,80/20,-0.2780621773116736,0.10312900239620976
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.12452529534609236,0.08535454008380888
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,GPR,80/20,-4.656513007124611,0.21695977431785896
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Linear,85/15,-1.4582408780857232,0.13563407646736755
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Ridge,85/15,-1.0871531742647202,0.12497805392475085
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Lasso,85/15,-0.25662183324861765,0.09697480099496536
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.12059545679005912,0.08112429748738595
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,GPR,85/15,-4.850715260054142,0.2092478853725179
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Linear,90/10,-1.0879497341114397,0.12048368731283668
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Ridge,90/10,-0.8233052341180915,0.11258950768005356
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Lasso,90/10,-0.17189624273511406,0.09026363348304021
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.2808753572878735,0.07070828705833092
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,GPR,90/10,-2.1170759483348087,0.14721156266467103
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.10717837552503151,0.07219033074662702
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.10858052297572784,0.07213362218472076
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.028145810426175144,0.07531773252983098
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,0.09561073199630554,0.07265648463190034
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-1.2893789604783321,0.1155993853682589
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,-0.01833484729495849,0.07697223025271412
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,-0.0027867492526405524,0.07638235791313937
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,-0.00889739155625735,0.07661472854390887
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,-0.13338972981779929,0.08120418352356991
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-1.5406851046057461,0.12158057367998466
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,-0.28375703253333384,0.07461074735489998
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,-0.20440029994692988,0.07226789416312099
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,-0.2567755121483648,0.07382251340787613
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.47349843411917014,0.07993460103776963
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,-2.131918663967044,0.11653736920589147
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,Linear,80/20,-1.3230097177142532,0.08790209730432466
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,Ridge,80/20,-0.9124817786089208,0.07975765508445135
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,Lasso,80/20,-0.17971978971375324,0.06264164534190185
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.11625010251409684,0.054217365679471705
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,GPR,80/20,-4.519106594696815,0.1354902721112355
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,Linear,85/15,-1.458788425644114,0.08517786629162777
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,Ridge,85/15,-1.0590932542774336,0.07794785788142453
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,Lasso,85/15,-0.12988246551676497,0.057740801923477934
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.10739388861970678,0.051321117537068375
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,GPR,85/15,-4.731199952063572,0.13004359204566304
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,Linear,90/10,-1.3197881550502135,0.07296648611790126
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,Ridge,90/10,-0.9397920198391694,0.06672319792761276
