Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed
Rg norm w/0.5,pH regr out,All,ProtBERT,mid,100,GPR,90/10,0.3043407847988777,0.0399460862398753,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,50,Ridge,90/10,-0.266899014418968,0.0399506202509669,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,Ridge,90/10,-0.2671456133942833,0.039953522616534,2
Rg norm w/0.5,pH regr out,All,ProtBERT,low,100,Kernel Ridge,90/10,0.2994016157524704,0.0400876436997564,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Kernel Ridge,85/15,0.6216588488611517,0.0400921495520641,1
Rg norm w/0.5,pH regr out,All,ProtBERT,mid,20,Kernel Ridge,90/10,0.2984963770031654,0.0401135338350086,4
Rg norm w/0.5,pH regr out,All,ProtBERT,low,190,Kernel Ridge,90/10,0.2972415178606048,0.0401493956198469,4
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.2950851095094845,0.0402109474755488,4
Rg norm w/0.5,pH regr out,All,ProtBERT,low,10,Kernel Ridge,90/10,0.2950805874174314,0.0402110764537537,4
Rg norm w/0.5,pH regr out,All,ProtBERT,mid,50,GPR,90/10,0.2949170875223379,0.0402157394872039,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Kernel Ridge,90/10,-0.2842246053306307,0.040221874557771,2
Rg norm w/0.5,pH regr out,All,ProtBERT,mid,50,Kernel Ridge,90/10,0.2940547732285695,0.0402403238374281,4
Rg norm w/0.5,pH regr out,All,ProtBERT,high,20,Kernel Ridge,90/10,0.2933386937047187,0.0402607276643192,4
Rg norm w/0.5,pH regr out,All,ProtBERT,mid,100,Kernel Ridge,90/10,0.2928073677818983,0.0402758604787356,4
Rg norm w/0.5,pH regr out,All,ProtBERT,low,20,Kernel Ridge,90/10,0.2924963904375877,0.0402847148579787,4
Rg norm w/0.5,pH regr out,All,ProtBERT,high,50,Kernel Ridge,90/10,0.2924920639905877,0.0402848380300834,4
Rg norm w/0.5,pH regr out,All,ProtBERT,high,100,Kernel Ridge,90/10,0.2924127498119755,0.0402870960042587,4
Rg norm w/0.5,pH regr out,All,ProtBERT,mid,190,Kernel Ridge,90/10,0.2923934172900674,0.0402876463574809,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,GPR,85/15,0.6113540181517569,0.0406344739912484,1
Rg norm w/0.406,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.2754297678709152,0.0407792761701436,4
