Normalization,Regressing out,Points,Model,PCA Components,LayerGroup,Regression Type,mean_rmse,std_rmse,mean_r2,std_r2,runs
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,high,Ridge,0.054028972927037865,0.007091623196842044,0.3347360468362817,0.08446885710080752,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,high,Ridge,0.05402908307945267,0.007091508229199057,0.3347583265275196,0.08447319896571553,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,mid,GPR,0.054078330482032144,0.009318974120426463,0.33468407564291597,0.13282725166955342,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,low,Kernel Ridge,0.054083715566702474,0.007539351857136123,0.336318750182254,0.07492445259186511,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,low,Ridge,0.054205717623892286,0.00821085726628804,0.3336764683416343,0.0967577554323193,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,low,Ridge,0.05420623531379285,0.008211530141029141,0.33369393582736845,0.09674376460140513,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,mid,GPR,0.054224675249492434,0.00919258051131445,0.33014878189568503,0.1337316722723789,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,low,Linear,0.054329418324096906,0.010566749249736516,0.19999492597049925,0.604801751077177,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,low,Linear,0.05433035217324563,0.010566280688632865,0.19999950117873957,0.6048141156866952,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,high,Kernel Ridge,0.0543752672336982,0.007716686052761622,0.3231164702253426,0.12664303948740513,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,high,Ridge,0.05442883802287778,0.007605395463170356,0.32760754347753257,0.07435800526936633,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,high,Ridge,0.05442891968460085,0.0076054560211906465,0.3276316061347364,0.07436260747232845,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,high,Ridge,0.054531766678226366,0.008674898603088642,0.3309041876177156,0.06276470776634722,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,high,Ridge,0.05453195699366473,0.008674897423529929,0.33092654038653907,0.06275422619841677,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,mid,Ridge,0.0545475915407811,0.008478062127036006,0.31501301186729824,0.17368858935683257,4
