Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,80/20,0.22533596683786639,1.3589393049379974
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,80/20,0.3056535719111195,1.2865642120114473
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,80/20,0.2604655840031428,1.3277691034271533
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.3928955377595059,1.2030261737576708
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,80/20,-0.2965593563598601,1.7580837732075862
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,85/15,0.3170042214336346,1.3936263375538864
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,85/15,0.3220601721476559,1.3884585205049755
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,85/15,0.25413975232513186,1.4563510260039296
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.38789869901846397,1.319316478418776
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,85/15,-0.1416862893629256,1.8018172001428903
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,90/10,-0.12024293880649428,1.2603670638572313
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,90/10,-0.028197977799592877,1.20747823349595
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,90/10,-0.09270680039299739,1.2447804560792788
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.0788340274909285,1.142904338971573
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,90/10,-2.1295983296272176,2.1066153223777953
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.3177384815311397,1.5136998155803205
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.29746259348090376,1.5360276954440775
