Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed,Combined Score,_source_file
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,190,GPR,90/10,0.67710308001166,0.0378323758214396,1.0,0.9997699705516696,all_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,190,GPR,90/10,0.67710308001166,0.0378323758214396,,,protbertLosses1.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,10,Kernel Ridge,90/10,0.5677130758471709,0.0380651793606697,,,protbertLosses4.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,10,Kernel Ridge,90/10,0.5677130758471709,0.0380651793606697,4.0,0.9996996588755198,all_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Kernel Ridge,85/15,0.6018886405675095,0.0382004749481739,4.0,0.9997155974491344,all_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Kernel Ridge,85/15,0.6018886405675095,0.0382004749481739,,,protbertLosses4.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,190,GPR,90/10,0.6704112556089237,0.0382223909249812,,,protbertLosses1.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,190,GPR,90/10,0.6704112556089237,0.0382223909249812,1.0,0.9997547802687008,all_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Kernel Ridge,85/15,0.5542570522382564,0.0385133211136989,2.0,0.9996788536016028,all_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Kernel Ridge,85/15,0.5542570522382564,0.0385133211136989,,,protbertLosses2.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Kernel Ridge,85/15,0.593143848141602,0.0386177459608405,4.0,0.9996984243921064,all_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Kernel Ridge,85/15,0.593143848141602,0.0386177459608405,,,protbertLosses4.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,20,Kernel Ridge,90/10,0.6615351329823945,0.0387313722184658,,,protbertLosses1.csv
