Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed,Combined Score,_source_file
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Linear,85/15,0.4738556155403957,0.0352833547072512,3.0,0.9991319044032568,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Kernel Ridge,90/10,0.4718139504828688,0.0353629709622067,3.0,0.9991263614688198,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,50,Kernel Ridge,85/15,0.4706346055074671,0.0353912015631453,3.0,0.9991237380861908,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,100,Kernel Ridge,85/15,0.4661576105181626,0.0355405432433706,3.0,0.9991124056248804,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,Kernel Ridge,85/15,0.4642222447254778,0.0356048975232341,3.0,0.9991075133723134,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,20,GPR,85/15,0.4617064066615196,0.0356883941285083,3.0,0.9991011589829528,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,10,GPR,90/10,0.6481188092837327,0.035759787491251,1.0,0.9993681547880944,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,50,GPR,85/15,0.4587940232834748,0.0357848081293956,3.0,0.999093810942223,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Kernel Ridge,90/10,0.4493752006392371,0.0361063148539262,3.0,0.9990697310574564,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,100,Ridge,85/15,0.4407257260698821,0.0363772575807943,3.0,0.9990484096397022,all_rows_sorted_by_rmse.csv
