Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.418,No regr out,All,-1,Lasso,90/10,-0.3944455208163637,0.06706237553362024
Rg norm w/0.418,No regr out,All,-1,Kernel Ridge,90/10,-0.0359821425578212,0.06073508123467396
Rg norm w/0.418,No regr out,All,-1,GPR,90/10,-20.355910426751425,0.2516307042703656
Rg w/no norm,pH regr out,All,-1,Linear,80/20,-745475301.9760779,70612.59734592147
Rg w/no norm,pH regr out,All,-1,Ridge,80/20,0.327171623634016,1.956462565037048
Rg w/no norm,pH regr out,All,-1,Lasso,80/20,0.3036436083437441,2.082725469501349
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,80/20,0.3200379003461269,1.895033133504254
Rg w/no norm,pH regr out,All,-1,GPR,80/20,0.4936898285505652,1.7797108097648724
Rg w/no norm,pH regr out,All,-1,Linear,85/15,-649158128.548405,68522.10580077092
Rg w/no norm,pH regr out,All,-1,Ridge,85/15,0.3651891719514032,1.665647194924356
Rg w/no norm,pH regr out,All,-1,Lasso,85/15,0.3030149981764899,1.7152692631507815
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,85/15,0.3556113708322923,1.3836435898309354
Rg w/no norm,pH regr out,All,-1,GPR,85/15,0.5274577812371869,1.3906173538167304
Rg w/no norm,pH regr out,All,-1,Linear,90/10,-3861583927.2831273,80039.13689647459
Rg w/no norm,pH regr out,All,-1,Ridge,90/10,0.6925042758292912,1.1544442532782047
Rg w/no norm,pH regr out,All,-1,Lasso,90/10,0.1240959024255906,1.3685122048607528
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,90/10,0.105048784628733,1.130506816513083
Rg w/no norm,pH regr out,All,-1,GPR,90/10,-0.1636216138537241,1.2215685077556198
Rg norm w/0.427,pH regr out,All,-1,Linear,80/20,-1131285481.9554589,9485.619321297785
Rg norm w/0.427,pH regr out,All,-1,Ridge,80/20,0.2679289981329137,0.21287869390472752
Rg norm w/0.427,pH regr out,All,-1,Lasso,80/20,0.2095747374540389,0.21989705183842606
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,80/20,0.6212938182309985,0.18143900483182374
Rg norm w/0.427,pH regr out,All,-1,GPR,80/20,0.5955560998253453,0.1854688641075252
Rg norm w/0.427,pH regr out,All,-1,Linear,85/15,-932954106.5658404,9199.426357759668
Rg norm w/0.427,pH regr out,All,-1,Ridge,85/15,0.1192846032045885,0.14594886386140415
Rg norm w/0.427,pH regr out,All,-1,Lasso,85/15,0.2201349208290618,0.14306023855941735
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,85/15,0.7726666288939585,0.09637079085050264
Rg norm w/0.427,pH regr out,All,-1,GPR,85/15,0.6152535017079921,0.10867365711461283
Rg norm w/0.427,pH regr out,All,-1,Linear,90/10,-19577645901.14089,10725.152650327695
Rg norm w/0.427,pH regr out,All,-1,Ridge,90/10,-0.3913750460459113,0.09705963100738742
Rg norm w/0.427,pH regr out,All,-1,Lasso,90/10,-0.6667707213486274,0.10906500282865457
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,90/10,0.3968445127649113,0.07234438356695644
Rg norm w/0.427,pH regr out,All,-1,GPR,90/10,0.0500651664416301,0.07344399732713558
Rg norm w/0.5,pH regr out,All,-1,Linear,80/20,-1182597861.827897,6719.926038804912
Rg norm w/0.5,pH regr out,All,-1,Ridge,80/20,0.2715061568317422,0.14919721219905932
Rg norm w/0.5,pH regr out,All,-1,Lasso,80/20,0.1240077144257165,0.15489432549211898
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,80/20,0.624262889438226,0.12810821488748028
Rg norm w/0.5,pH regr out,All,-1,GPR,80/20,0.59543193282772,0.13156571357105765
Rg norm w/0.5,pH regr out,All,-1,Linear,85/15,-972047836.8719324,6516.750274169042
Rg norm w/0.5,pH regr out,All,-1,Ridge,85/15,0.117073136714659,0.10012309900240912
Rg norm w/0.5,pH regr out,All,-1,Lasso,85/15,0.1157300662200697,0.10111678825866055
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,85/15,0.7746601295729998,0.06691644653386605
Rg norm w/0.5,pH regr out,All,-1,GPR,85/15,0.6138467537314801,0.07599755412700225
Rg norm w/0.5,pH regr out,All,-1,Linear,90/10,-18180271161.289963,7595.837223572549
Rg norm w/0.5,pH regr out,All,-1,Ridge,90/10,-0.1718125964105399,0.06498308485665014
Rg norm w/0.5,pH regr out,All,-1,Lasso,90/10,-0.3945821891545267,0.06706236574262017
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,90/10,0.5285749315221099,0.05040792018222899
Rg norm w/0.5,pH regr out,All,-1,GPR,90/10,0.147123125743311,0.05143647815237088
Rg norm w/0.418,pH regr out,All,-1,Linear,80/20,-1124264833.8342578,9896.820193274963
Rg norm w/0.418,pH regr out,All,-1,Ridge,80/20,0.267986964163403,0.2224990121997566
Rg norm w/0.418,pH regr out,All,-1,Lasso,80/20,0.222722866058206,0.2298584565939815
Rg norm w/0.418,pH regr out,All,-1,Kernel Ridge,80/20,0.6205963636364396,0.1895691025607434
Rg norm w/0.418,pH regr out,All,-1,GPR,80/20,0.5950741531594264,0.1936824167298625
Rg norm w/0.418,pH regr out,All,-1,Linear,85/15,-927725207.9226536,9598.303771063273
Rg norm w/0.418,pH regr out,All,-1,Ridge,85/15,0.1199441616238744,0.1533400267934472
Rg norm w/0.418,pH regr out,All,-1,Lasso,85/15,0.2334052182187567,0.14990716337788706
Rg norm w/0.418,pH regr out,All,-1,Kernel Ridge,85/15,0.7720366800046713,0.10109020209373273
Rg norm w/0.418,pH regr out,All,-1,GPR,85/15,0.6149718323763768,0.11388981369402687
Rg norm w/0.418,pH regr out,All,-1,Linear,90/10,-19448407038.74579,11190.517863154562
Rg norm w/0.418,pH regr out,All,-1,Ridge,90/10,-0.4034813818772724,0.10193493011769698
Rg norm w/0.418,pH regr out,All,-1,Lasso,90/10,-0.695356108433477,0.11579969344747643
Rg norm w/0.418,pH regr out,All,-1,Kernel Ridge,90/10,0.3762225430172983,0.07598439408698957
Rg norm w/0.418,pH regr out,All,-1,GPR,90/10,0.0352171682017022,0.07717322401111973
Rg w/no norm,buffer regr out,All,-1,Linear,80/20,-587163545.8668922,60715.172017229255
Rg w/no norm,buffer regr out,All,-1,Ridge,80/20,0.2896798876834099,2.0087230974495798
Rg w/no norm,buffer regr out,All,-1,Lasso,80/20,0.2107226900041553,2.0810296050594093
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,80/20,0.2819416000106711,1.9080353063326885
Rg w/no norm,buffer regr out,All,-1,GPR,80/20,0.3776288340345812,1.9774786723909341
Rg w/no norm,buffer regr out,All,-1,Linear,85/15,-510378479.41741824,58772.10992643299
