Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,-3.689183293516985,2.946087083270099
Rg w/no norm,No regr out,All,1,GPR,80/20,-1.0087190783139364,5.040433200762057
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-5.198210364227281,3.3871164761975954
Rg w/no norm,No regr out,All,1,Linear,85/15,-1.6130547178942942,2.642596161797723
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.739705571855406,0.7353195883405255
Rg w/no norm,No regr out,All,1,Ridge,85/15,-0.3347360603136418,1.8886620105052183
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.7079894378276352,0.7788305520427679
Rg w/no norm,No regr out,All,1,Lasso,85/15,-0.3387815290294507,1.891522030033555
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.6754400505739044,0.8210907564955429
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,-3.127331626535468,3.321170950002204
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,-3.806986132052292,3.159949442106125
Rg w/no norm,No regr out,All,1,GPR,85/15,-3.6140086132100793,3.5115248675429425
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-4.826640328110382,3.478986990613122
Rg w/no norm,No regr out,All,1,Linear,90/10,-0.29217685367844437,2.056970991927943
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.7129770181012538,0.7953481110442677
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.25479170172616494,1.5620899189060893
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.6862147412464141,0.8316013515549383
Rg w/no norm,No regr out,All,1,Lasso,90/10,0.17020336761820765,1.6483636258518557
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.6772653456880808,0.8433769329580924
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,-2.159766115362473,3.2165822216148765
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,-3.078735384216877,2.998207479282328
Rg w/no norm,No regr out,All,1,GPR,90/10,-3.194554091870721,3.7060398779719113
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,-4.341233572322949,3.4309919808034093
Rg norm w/0.427,No regr out,All,1,Linear,80/20,-0.3119003741639452,0.5259866564499687
Rg norm w/0.427,No regr out,Inliers,1,Linear,80/20,0.2539677657814079,0.07509635362991654
Rg norm w/0.427,No regr out,All,1,Ridge,80/20,-0.11418802614006185,0.48473406635743965
Rg norm w/0.427,No regr out,Inliers,1,Ridge,80/20,0.12327987896742798,0.08140864768853648
Rg norm w/0.427,No regr out,All,1,Lasso,80/20,-0.021897854609899348,0.4642244844401868
Rg norm w/0.427,No regr out,Inliers,1,Lasso,80/20,0.13062886290164455,0.08106673135610017
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,80/20,-0.4769748948666559,0.5580985003933534
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,80/20,-7.749670800413293,0.2571792410107356
Rg norm w/0.427,No regr out,All,1,GPR,80/20,-0.8505333634365884,0.6247018018521229
Rg norm w/0.427,No regr out,Inliers,1,GPR,80/20,-13.456079145150515,0.33057142678713736
Rg norm w/0.427,No regr out,All,1,Linear,85/15,-18.81590191509937,0.3723061442723013
Rg norm w/0.427,No regr out,Inliers,1,Linear,85/15,0.22407234511440421,0.0727974314484594
Rg norm w/0.427,No regr out,All,1,Ridge,85/15,-9.198950424955825,0.2670982373389783
Rg norm w/0.427,No regr out,Inliers,1,Ridge,85/15,0.022161721617415364,0.08172199456014057
Rg norm w/0.427,No regr out,All,1,Lasso,85/15,-0.5367890961642454,0.10368129591891985
Rg norm w/0.427,No regr out,Inliers,1,Lasso,85/15,0.030071128919485046,0.08139081253298143
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,85/15,-14.240513802259475,0.3265074430625622
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,85/15,-9.790787942712505,0.27147636139831477
Rg norm w/0.427,No regr out,All,1,GPR,85/15,-15.620029727552577,0.34096451222342694
Rg norm w/0.427,No regr out,Inliers,1,GPR,85/15,-14.859743542885273,0.32911942900227475
Rg norm w/0.427,No regr out,All,1,Linear,90/10,-6.531595139990195,0.21014165143879204
Rg norm w/0.427,No regr out,Inliers,1,Linear,90/10,0.2771495943148661,0.07157980666102637
Rg norm w/0.427,No regr out,All,1,Ridge,90/10,-1.703295611067602,0.12589701330287187
Rg norm w/0.427,No regr out,Inliers,1,Ridge,90/10,0.26678346451782387,0.07209122939761137
