Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.406,No regr out,All,-1,Lasso,90/10,-0.0070053320007161,0.28882038509375113
Rg norm w/0.406,No regr out,All,-1,Kernel Ridge,90/10,0.0729130068111493,0.2852898906385889
Rg norm w/0.406,No regr out,All,-1,GPR,90/10,0.0751021147648484,0.30166348195679094
Rg w/no norm,pH regr out,All,-1,Linear,80/20,-0.4794951994030885,3.3799856163321906
Rg w/no norm,pH regr out,All,-1,Ridge,80/20,0.0697391541638547,2.379189330237036
Rg w/no norm,pH regr out,All,-1,Lasso,80/20,0.0616011711158506,2.4887543169611313
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,80/20,0.1142244278836618,2.4075928647022686
Rg w/no norm,pH regr out,All,-1,GPR,80/20,0.0179438076362364,2.5394137815657523
Rg w/no norm,pH regr out,All,-1,Linear,85/15,-0.5082740747720651,3.639382238152404
Rg w/no norm,pH regr out,All,-1,Ridge,85/15,0.0244801669800019,2.6510815941167944
Rg w/no norm,pH regr out,All,-1,Lasso,85/15,0.0518335765072491,2.7399740105013737
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,85/15,0.0731493249475579,2.7177849382934554
Rg w/no norm,pH regr out,All,-1,GPR,85/15,0.0156457996777028,2.8218450805395348
Rg w/no norm,pH regr out,All,-1,Linear,90/10,-0.0007520594665773,3.8631315155188077
Rg w/no norm,pH regr out,All,-1,Ridge,90/10,0.1150215506161441,3.0340017785595457
Rg w/no norm,pH regr out,All,-1,Lasso,90/10,0.09463146892745,3.1805988249078037
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,90/10,0.1152130041524067,3.0669693441178603
Rg w/no norm,pH regr out,All,-1,GPR,90/10,-0.0021097923786235,3.307710195601351
Rg norm w/0.421,pH regr out,All,-1,Linear,80/20,-0.5697106444133444,0.43418102022475963
Rg norm w/0.421,pH regr out,All,-1,Ridge,80/20,0.052982486740398,0.3095056354906278
Rg norm w/0.421,pH regr out,All,-1,Lasso,80/20,-0.0003954537950898,0.321995435849262
Rg norm w/0.421,pH regr out,All,-1,Kernel Ridge,80/20,-0.0037666058776886,0.3100951486299137
Rg norm w/0.421,pH regr out,All,-1,GPR,80/20,-0.0043833322196225,0.3110087248179383
Rg norm w/0.421,pH regr out,All,-1,Linear,85/15,-0.4247720727272301,0.465882093012426
Rg norm w/0.421,pH regr out,All,-1,Ridge,85/15,0.0634287747247455,0.34771640807387677
Rg norm w/0.421,pH regr out,All,-1,Lasso,85/15,0.0456084150065762,0.35883551690177706
Rg norm w/0.421,pH regr out,All,-1,Kernel Ridge,85/15,0.0623713327909457,0.34484084904483175
Rg norm w/0.421,pH regr out,All,-1,GPR,85/15,-0.0006805375784451,0.3493018480059917
Rg norm w/0.421,pH regr out,All,-1,Linear,90/10,-0.0595743031778039,0.510033029257481
Rg norm w/0.421,pH regr out,All,-1,Ridge,90/10,0.0473819181726996,0.41341910260439213
Rg norm w/0.421,pH regr out,All,-1,Lasso,90/10,0.0197916633905728,0.4246416866066072
Rg norm w/0.421,pH regr out,All,-1,Kernel Ridge,90/10,0.0460681001777479,0.4136108987309582
Rg norm w/0.421,pH regr out,All,-1,GPR,90/10,-0.0166326998714083,0.41814203183006765
Rg norm w/0.5,pH regr out,All,-1,Linear,80/20,-0.5621284361280641,0.2969711942604959
Rg norm w/0.5,pH regr out,All,-1,Ridge,80/20,0.0557705636500168,0.21348585647504917
Rg norm w/0.5,pH regr out,All,-1,Lasso,80/20,-0.0003245339261335,0.22053899101540586
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,80/20,-0.0039852539233109,0.21423288342919172
Rg norm w/0.5,pH regr out,All,-1,GPR,80/20,-0.0047235068037587,0.2150175341950195
Rg norm w/0.5,pH regr out,All,-1,Linear,85/15,-0.4038728730392704,0.318557482882791
Rg norm w/0.5,pH regr out,All,-1,Ridge,85/15,0.0699917072200516,0.23979618881070155
Rg norm w/0.5,pH regr out,All,-1,Lasso,85/15,0.0149750698164055,0.24584084164135783
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,85/15,0.0686174925152958,0.23879342449039287
Rg norm w/0.5,pH regr out,All,-1,GPR,85/15,-0.0014731013261883,0.24151992280291368
Rg norm w/0.5,pH regr out,All,-1,Linear,90/10,-0.0617576812095488,0.3501553792294333
Rg norm w/0.5,pH regr out,All,-1,Ridge,90/10,0.047342995585211,0.2856178843117681
Rg norm w/0.5,pH regr out,All,-1,Lasso,90/10,-0.0070060115958885,0.2888099820159187
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,90/10,0.0459221071858559,0.2861718661673231
Rg norm w/0.5,pH regr out,All,-1,GPR,90/10,-0.0166325936568547,0.2895335293796585
Rg norm w/0.406,pH regr out,All,-1,Linear,80/20,-0.570295810980739,0.46629585589112504
Rg norm w/0.406,pH regr out,All,-1,Ridge,80/20,0.0530736040962366,0.3318963749327399
Rg norm w/0.406,pH regr out,All,-1,Lasso,80/20,-0.0003937496729351,0.34598900171772196
Rg norm w/0.406,pH regr out,All,-1,Kernel Ridge,80/20,-0.0036068399838746,0.3326295536479117
Rg norm w/0.406,pH regr out,All,-1,GPR,80/20,-0.0042126725048627,0.33357477253361656
Rg norm w/0.406,pH regr out,All,-1,Linear,85/15,-0.4284524610263083,0.5003740565778322
Rg norm w/0.406,pH regr out,All,-1,Ridge,85/15,0.0626301032740705,0.3728760122371332
Rg norm w/0.406,pH regr out,All,-1,Lasso,85/15,0.0525635311983831,0.3855606185009465
Rg norm w/0.406,pH regr out,All,-1,Kernel Ridge,85/15,0.0616394344025189,0.3712310581686006
Rg norm w/0.406,pH regr out,All,-1,GPR,85/15,-0.0004567461178301,0.3746127306998405
Rg norm w/0.406,pH regr out,All,-1,Linear,90/10,-0.0588394040039423,0.5473537682280888
Rg norm w/0.406,pH regr out,All,-1,Ridge,90/10,0.0479031483267196,0.4431381900974928
Rg norm w/0.406,pH regr out,All,-1,Lasso,90/10,0.0256932154709808,0.45617283739581704
Rg norm w/0.406,pH regr out,All,-1,Kernel Ridge,90/10,0.0466126932129163,0.4434062533335057
Rg norm w/0.406,pH regr out,All,-1,GPR,90/10,-0.0165563871523135,0.448256243091278
Rg w/no norm,buffer regr out,All,-1,Linear,80/20,-0.3787034166646272,3.8540198044479226
Rg w/no norm,buffer regr out,All,-1,Ridge,80/20,0.1120714240169096,2.3623129453537137
Rg w/no norm,buffer regr out,All,-1,Lasso,80/20,0.0438965562068132,2.437016878093702
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,80/20,0.1134503696951498,2.3712620821429047
Rg w/no norm,buffer regr out,All,-1,GPR,80/20,-0.0530330988917533,2.411669014457311
Rg w/no norm,buffer regr out,All,-1,Linear,85/15,-0.3526179575748529,4.33921753970305
Rg w/no norm,buffer regr out,All,-1,Ridge,85/15,0.0886672407980712,2.580072306816674
Rg w/no norm,buffer regr out,All,-1,Lasso,85/15,0.0561725961618508,2.6337777792071457
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,85/15,0.0909852957515152,2.593200737835355
Rg w/no norm,buffer regr out,All,-1,GPR,85/15,-0.0543943949551644,2.6175858397428504
Rg w/no norm,buffer regr out,All,-1,Linear,90/10,-0.1201140204612343,4.186244068317047
Rg w/no norm,buffer regr out,All,-1,Ridge,90/10,0.0577509357006362,2.944410465505134
Rg w/no norm,buffer regr out,All,-1,Lasso,90/10,0.0198413197907814,3.0000458146119513
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,90/10,0.0596422322696635,3.051861776452903
Rg w/no norm,buffer regr out,All,-1,GPR,90/10,-0.0768785930373461,3.068706313898846
Rg norm w/0.421,buffer regr out,All,-1,Linear,80/20,-0.5115250656476642,0.47515551396819833
Rg norm w/0.421,buffer regr out,All,-1,Ridge,80/20,0.0623855022358739,0.3082768432918274
Rg norm w/0.421,buffer regr out,All,-1,Lasso,80/20,0.0624812564526061,0.3122660819186711
Rg norm w/0.421,buffer regr out,All,-1,Kernel Ridge,80/20,0.0618045811515292,0.30596862035261857
Rg norm w/0.421,buffer regr out,All,-1,GPR,80/20,-0.0654892219394323,0.3108600542097405
Rg norm w/0.421,buffer regr out,All,-1,Linear,85/15,-0.3299048214860745,0.52241699506137
Rg norm w/0.421,buffer regr out,All,-1,Ridge,85/15,0.0669594565201545,0.34312941523041685
Rg norm w/0.421,buffer regr out,All,-1,Lasso,85/15,0.0636203636685357,0.3462799844214522
Rg norm w/0.421,buffer regr out,All,-1,Kernel Ridge,85/15,0.0662830494801387,0.34315197876448805
Rg norm w/0.421,buffer regr out,All,-1,GPR,85/15,-0.0571483087607642,0.346395566472789
Rg norm w/0.421,buffer regr out,All,-1,Linear,90/10,-0.1240572732914642,0.5365079656037445
Rg norm w/0.421,buffer regr out,All,-1,Ridge,90/10,0.0422186636168505,0.4042137427275191
Rg norm w/0.421,buffer regr out,All,-1,Lasso,90/10,0.0338542929365095,0.408394953426426
Rg norm w/0.421,buffer regr out,All,-1,Kernel Ridge,90/10,0.0417086490910458,0.4033765326897519
Rg norm w/0.421,buffer regr out,All,-1,GPR,90/10,-0.0722435674999044,0.40997651491248427
Rg norm w/0.5,buffer regr out,All,-1,Linear,80/20,-0.5120558985200632,0.3235492056259312
Rg norm w/0.5,buffer regr out,All,-1,Ridge,80/20,0.0648917141353778,0.21243978760915067
Rg norm w/0.5,buffer regr out,All,-1,Lasso,80/20,-8.939156803888793e-06,0.21807344647999316
Rg norm w/0.5,buffer regr out,All,-1,Kernel Ridge,80/20,0.0640850342535109,0.21274216630227807
Rg norm w/0.5,buffer regr out,All,-1,GPR,80/20,-0.0640752300420848,0.21681341263231788
Rg norm w/0.5,buffer regr out,All,-1,Linear,85/15,-0.3187932679013163,0.35501338561611057
Rg norm w/0.5,buffer regr out,All,-1,Ridge,85/15,0.0718573572564824,0.23731404256434901
Rg norm w/0.5,buffer regr out,All,-1,Lasso,85/15,0.0182251951491525,0.24220189905159478
Rg norm w/0.5,buffer regr out,All,-1,Kernel Ridge,85/15,0.070890337961924,0.23692921403129427
Rg norm w/0.5,buffer regr out,All,-1,GPR,85/15,-0.0567651685978023,0.24215904136949398
Rg norm w/0.5,buffer regr out,All,-1,Linear,90/10,-0.1224554563863637,0.3679608089751858
Rg norm w/0.5,buffer regr out,All,-1,Ridge,90/10,0.0480867045233595,0.2781695266325322
Rg norm w/0.5,buffer regr out,All,-1,Lasso,90/10,-0.0012345398805857,0.28577475216115217
Rg norm w/0.5,buffer regr out,All,-1,Kernel Ridge,90/10,0.047311814479354,0.2806226245216127
Rg norm w/0.5,buffer regr out,All,-1,GPR,90/10,-0.0707956840579333,0.28670290894180206
Rg norm w/0.406,buffer regr out,All,-1,Linear,80/20,-0.5107724132922584,0.5107765781016018
Rg norm w/0.406,buffer regr out,All,-1,Ridge,80/20,0.0623643048420136,0.3307399905516853
Rg norm w/0.406,buffer regr out,All,-1,Lasso,80/20,0.0649930550974917,0.3344920741628754
Rg norm w/0.406,buffer regr out,All,-1,Kernel Ridge,80/20,0.0618295722197369,0.32790113041838564
Rg norm w/0.406,buffer regr out,All,-1,GPR,80/20,-0.065644256759733,0.33275412730579135
Rg norm w/0.406,buffer regr out,All,-1,Linear,85/15,-0.3319042025975658,0.5618341509511928
Rg norm w/0.406,buffer regr out,All,-1,Ridge,85/15,0.0664222174392632,0.3677568692342693
Rg norm w/0.406,buffer regr out,All,-1,Lasso,85/15,0.0659927752203141,0.37072372439006895
Rg norm w/0.406,buffer regr out,All,-1,Kernel Ridge,85/15,0.0658036535380073,0.3670899228129282
Rg norm w/0.406,buffer regr out,All,-1,GPR,85/15,-0.0571818424371037,0.370599603565781
Rg norm w/0.406,buffer regr out,All,-1,Linear,90/10,-0.1243728167871998,0.5759525589858727
Rg norm w/0.406,buffer regr out,All,-1,Ridge,90/10,0.0414501000705551,0.43289131497250805
Rg norm w/0.406,buffer regr out,All,-1,Lasso,90/10,0.0379925180940065,0.4370550646629351
Rg norm w/0.406,buffer regr out,All,-1,Kernel Ridge,90/10,0.0409930056714211,0.43187827595992057
Rg norm w/0.406,buffer regr out,All,-1,GPR,90/10,-0.0725038701416238,0.4385462278972111
Rg w/no norm,expr pH only regr out,All,-1,Linear,80/20,-1.384264118950893,3.9214633504595313
Rg w/no norm,expr pH only regr out,All,-1,Ridge,80/20,0.1826220581313287,2.6876442726655907
Rg w/no norm,expr pH only regr out,All,-1,Lasso,80/20,0.2253238492994415,2.7984434280827446
Rg w/no norm,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.2140135652782138,2.698442739411578
Rg w/no norm,expr pH only regr out,All,-1,GPR,80/20,-0.2171854537654591,3.4596228591924274
Rg w/no norm,expr pH only regr out,All,-1,Linear,85/15,-1.4770102581444893,4.171776718742597
Rg w/no norm,expr pH only regr out,All,-1,Ridge,85/15,0.1728253843611156,2.9196749892433638
Rg w/no norm,expr pH only regr out,All,-1,Lasso,85/15,0.128100036863901,2.954510862429538
Rg w/no norm,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.2204710768806739,2.891616410184068
Rg w/no norm,expr pH only regr out,All,-1,GPR,85/15,-0.1605343851951959,3.7789411402827553
Rg w/no norm,expr pH only regr out,All,-1,Linear,90/10,-0.2739025738125653,4.134895089253147
Rg w/no norm,expr pH only regr out,All,-1,Ridge,90/10,0.2586236754342601,3.255369311269812
Rg w/no norm,expr pH only regr out,All,-1,Lasso,90/10,0.1643938369000667,3.327839629049431
Rg w/no norm,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.2873592369983476,3.217884854186001
Rg w/no norm,expr pH only regr out,All,-1,GPR,90/10,-0.2340944237618081,4.377950090131873
Rg norm w/0.421,expr pH only regr out,All,-1,Linear,80/20,-1.3624752364786148,0.48809720376470284
Rg norm w/0.421,expr pH only regr out,All,-1,Ridge,80/20,0.2073201845561816,0.33871938237459426
Rg norm w/0.421,expr pH only regr out,All,-1,Lasso,80/20,0.2039655446262043,0.343379118222034
Rg norm w/0.421,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.1777913409210885,0.3445187736491672
Rg norm w/0.421,expr pH only regr out,All,-1,GPR,80/20,-0.2365136992621401,0.4142429507376755
