Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,0.21335749643915003,2.096225045806522
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.5713728210890882,1.0750841529447726
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.4122585538538557,1.811933940397571
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.5333041666381358,1.1218106769217802
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.3706272780033253,1.87500814861812
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.5209980629674023,1.1365047159624098
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,-1.7534572506305572,3.92182644407639
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,-1.9214919151232972,2.806757887392419
Rg w/no norm,No regr out,All,1,GPR,80/20,-2.0425568044294855,4.122574846286717
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-2.336668214577722,2.9995708156084424
Rg w/no norm,No regr out,All,1,Linear,85/15,-0.22027143349771827,1.49057888850374
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.6025894982012598,0.9617548170222349
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.24277074334507398,1.174195566431914
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.5447564775060847,1.0293583410331881
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.34147877414953565,1.094993730523307
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.5271552568884159,1.0490688290144363
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,-3.5376737460833594,2.874374671555716
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,-2.449238871348924,2.833389866647962
Rg w/no norm,No regr out,All,1,GPR,85/15,-4.382141361534377,3.130432139717761
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-4.283766608014834,3.5068445367799215
Rg w/no norm,No regr out,All,1,Linear,90/10,-0.9209417976018399,1.3815372000118649
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.5826821587700795,0.9821172233841886
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.006936550361313909,0.9933309768726142
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.5277215267700526,1.044789806040142
Rg w/no norm,No regr out,All,1,Lasso,90/10,-0.011528269814155001,1.0025233407010619
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.5261150380023374,1.0465652608509015
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,-7.716201730874623,2.9428567123580813
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,-0.4554302271853803,1.8341107081910257
Rg w/no norm,No regr out,All,1,GPR,90/10,-10.558147577097914,3.388828555098565
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,-0.9461293373527451,2.1208780678137424
Rg w/no norm,No regr out,All,2,Linear,80/20,0.3038971680391175,1.9719046076140403
Rg w/no norm,No regr out,Inliers,2,Linear,80/20,0.5924861022329138,1.0482715990475717
Rg w/no norm,No regr out,All,2,Ridge,80/20,0.37703673415292027,1.8654362877818151
Rg w/no norm,No regr out,Inliers,2,Ridge,80/20,0.5384390168606099,1.1156222113749255
Rg w/no norm,No regr out,All,2,Lasso,80/20,0.3712413059379347,1.8740932787111444
Rg w/no norm,No regr out,Inliers,2,Lasso,80/20,0.5187512239019547,1.1391670807080736
Rg w/no norm,No regr out,All,2,Kernel Ridge,80/20,-1.751946341178252,3.9207502810549197
Rg w/no norm,No regr out,Inliers,2,Kernel Ridge,80/20,-1.9254499757203534,2.808658552860751
Rg w/no norm,No regr out,All,2,GPR,80/20,-2.1387792815987527,4.187256738184786
Rg w/no norm,No regr out,Inliers,2,GPR,80/20,-2.3418518530226295,3.0018998839210718
Rg w/no norm,No regr out,All,2,Linear,85/15,0.06909571793487645,1.3019048881831703
Rg w/no norm,No regr out,Inliers,2,Linear,85/15,0.6127472660687614,0.9493840840618188
Rg w/no norm,No regr out,All,2,Ridge,85/15,0.38479606721573656,1.0583670124772915
Rg w/no norm,No regr out,Inliers,2,Ridge,85/15,0.5508169404198673,1.0224836801629056
Rg w/no norm,No regr out,All,2,Lasso,85/15,0.4340869891264868,1.0150830666705848
Rg w/no norm,No regr out,Inliers,2,Lasso,85/15,0.5282445951769686,1.0478597114254045
Rg w/no norm,No regr out,All,2,Kernel Ridge,85/15,-3.5332564585186708,2.87297527268641
Rg w/no norm,No regr out,Inliers,2,Kernel Ridge,85/15,-2.456065064902476,2.836192181668549
Rg w/no norm,No regr out,All,2,GPR,85/15,-4.712804968053051,3.2251613193053577
Rg w/no norm,No regr out,Inliers,2,GPR,85/15,-4.283766608014834,3.5068445367799215
Rg w/no norm,No regr out,All,2,Linear,90/10,-0.1691181880663728,1.077791337433047
Rg w/no norm,No regr out,Inliers,2,Linear,90/10,0.5886359311768956,0.9750862418797148
Rg w/no norm,No regr out,All,2,Ridge,90/10,0.2763259902712296,0.8479631275491955
Rg w/no norm,No regr out,Inliers,2,Ridge,90/10,0.5324760233985263,1.0395174770732458
Rg w/no norm,No regr out,All,2,Lasso,90/10,0.2817041494369046,0.844806329517922
Rg w/no norm,No regr out,Inliers,2,Lasso,90/10,0.5287418851488525,1.0436605607726936
Rg w/no norm,No regr out,All,2,Kernel Ridge,90/10,-7.703576105810713,2.940724541058575
Rg w/no norm,No regr out,Inliers,2,Kernel Ridge,90/10,-0.4621993912343987,1.8383709583895023
Rg w/no norm,No regr out,All,2,GPR,90/10,-11.460121635956483,3.518573449067413
Rg w/no norm,No regr out,Inliers,2,GPR,90/10,-2.6373436915766484,2.899492708505929
Rg w/no norm,No regr out,All,1,Linear,80/20,0.21335749643915003,2.096225045806522
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.5713728210890882,1.0750841529447726
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.4122585538538557,1.811933940397571
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.5333041666381358,1.1218106769217802
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.3706272780033253,1.87500814861812
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.5209980629674023,1.1365047159624098
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,-1.7534572506305572,3.92182644407639
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,-1.9214919151232972,2.806757887392419
Rg w/no norm,No regr out,All,1,GPR,80/20,-2.057432912683169,4.132640901428341
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-3.6960130830146145,3.5585023457112803
Rg w/no norm,No regr out,All,1,Linear,85/15,-0.22027143349771827,1.49057888850374
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.6025894982012598,0.9617548170222349
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.24277074334507398,1.174195566431914
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.5447564775060847,1.0293583410331881
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.34147877414953565,1.094993730523307
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.5271552568884159,1.0490688290144363
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,-3.5376737460833594,2.874374671555716
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,-2.449238871348924,2.833389866647962
Rg w/no norm,No regr out,All,1,GPR,85/15,-4.504068114001491,3.165691888928866
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-2.841873783227455,2.9903102324572126
Rg w/no norm,No regr out,All,1,Linear,90/10,-0.9209417976018399,1.3815372000118649
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.5826821587700795,0.9821172233841886
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.006936550361313909,0.9933309768726142
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.5277215267700526,1.044789806040142
Rg w/no norm,No regr out,All,1,Lasso,90/10,-0.011528269814155001,1.0025233407010619
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.5261150380023374,1.0465652608509015
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,-7.716201730874623,2.9428567123580813
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,-0.4554302271853803,1.8341107081910257
Rg w/no norm,No regr out,All,1,GPR,90/10,-11.46047838291839,3.518623819017253
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,-0.9425127695495432,2.118906496344649
Rg norm w/0.427,No regr out,All,1,Linear,80/20,-1.3104099723572347,0.19489595395014345
Rg norm w/0.427,No regr out,Inliers,1,Linear,80/20,0.3076809236998911,0.09481567717901944
Rg norm w/0.427,No regr out,All,1,Ridge,80/20,-0.027561273135318087,0.12997569911478393
Rg norm w/0.427,No regr out,Inliers,1,Ridge,80/20,0.12072901809440661,0.10685340654108966
Rg norm w/0.427,No regr out,All,1,Lasso,80/20,-0.07893303664472229,0.1331850701109079
Rg norm w/0.427,No regr out,Inliers,1,Lasso,80/20,0.13651205447147596,0.10589004710389696
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,80/20,-7.267915483567917,0.3686857161996143
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,80/20,-4.730802805179404,0.2727939499982748
Rg norm w/0.427,No regr out,All,1,GPR,80/20,-9.101028238054818,0.40751264622747
Rg norm w/0.427,No regr out,Inliers,1,GPR,80/20,-6.076289169458079,0.30313060610284887
Rg norm w/0.427,No regr out,All,1,Linear,85/15,-1.7926795252623755,0.15578493542610075
Rg norm w/0.427,No regr out,Inliers,1,Linear,85/15,0.2685271992019652,0.08985273834610369
Rg norm w/0.427,No regr out,All,1,Ridge,85/15,-0.4921238271646655,0.11387210288762463
Rg norm w/0.427,No regr out,Inliers,1,Ridge,85/15,0.010128325474817235,0.10452536065443715
Rg norm w/0.427,No regr out,All,1,Lasso,85/15,-0.11358944668515836,0.09837335007299264
Rg norm w/0.427,No regr out,Inliers,1,Lasso,85/15,0.02424255834532707,0.10377748995624556
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,85/15,-11.500119297742822,0.3295884523010346
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,85/15,-5.725826331850466,0.2724614420167251
Rg norm w/0.427,No regr out,All,1,GPR,85/15,-14.857319140191256,0.3712186538426093
Rg norm w/0.427,No regr out,Inliers,1,GPR,85/15,-6.855347379416815,0.2944522815814585
Rg norm w/0.427,No regr out,All,1,Linear,90/10,-3.312791534392761,0.14473934565286076
Rg norm w/0.427,No regr out,Inliers,1,Linear,90/10,0.32912148270086816,0.07785236164292002
Rg norm w/0.427,No regr out,All,1,Ridge,90/10,-1.099453111902327,0.1009858351950266
Rg norm w/0.427,No regr out,Inliers,1,Ridge,90/10,0.052727035699460356,0.09250973140176794
Rg norm w/0.427,No regr out,All,1,Lasso,90/10,-0.6246604727108611,0.08883593526065682
Rg norm w/0.427,No regr out,Inliers,1,Lasso,90/10,0.006057107632002512,0.09476120289131527
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,90/10,-21.830492736502475,0.33301593411719427
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,90/10,-2.325304374277046,0.17332673276515015
Rg norm w/0.427,No regr out,All,1,GPR,90/10,-30.515760414699088,0.3912652399810112
Rg norm w/0.427,No regr out,Inliers,1,GPR,90/10,-3.876058884550133,0.20988641017123497
Rg norm w/0.427,No regr out,All,2,Linear,80/20,-0.8759817590900623,0.17561944633537846
Rg norm w/0.427,No regr out,Inliers,2,Linear,80/20,0.3024956455481892,0.09517008639221235
Rg norm w/0.427,No regr out,All,2,Ridge,80/20,-0.1046656742183254,0.13476394867437788
Rg norm w/0.427,No regr out,Inliers,2,Ridge,80/20,0.11649234268605824,0.10711052817547576
Rg norm w/0.427,No regr out,All,2,Lasso,80/20,-0.0954021311352431,0.13419770501049927
Rg norm w/0.427,No regr out,Inliers,2,Lasso,80/20,0.06993096595145853,0.10989668556585197
Rg norm w/0.427,No regr out,All,2,Kernel Ridge,80/20,-7.261118516083215,0.3685341386907683
Rg norm w/0.427,No regr out,Inliers,2,Kernel Ridge,80/20,-4.7411486588541285,0.2730400772654045
Rg norm w/0.427,No regr out,All,2,GPR,80/20,-9.44818857082033,0.41445635111454227
Rg norm w/0.427,No regr out,Inliers,2,GPR,80/20,-6.079308661858182,0.30319527297268006
Rg norm w/0.427,No regr out,All,2,Linear,85/15,-1.398554658962957,0.14437424230258583
Rg norm w/0.427,No regr out,Inliers,2,Linear,85/15,0.2661389940235058,0.08999930012365767
Rg norm w/0.427,No regr out,All,2,Ridge,85/15,-0.3219303672371956,0.10718134379881131
Rg norm w/0.427,No regr out,Inliers,2,Ridge,85/15,0.01997075913341273,0.10400440724002735
Rg norm w/0.427,No regr out,All,2,Lasso,85/15,-0.22100479689024688,0.10300862574033405
Rg norm w/0.427,No regr out,Inliers,2,Lasso,85/15,-0.02711412640160349,0.10647351151119944
Rg norm w/0.427,No regr out,All,2,Kernel Ridge,85/15,-11.488808232377059,0.32943930011436595
Rg norm w/0.427,No regr out,Inliers,2,Kernel Ridge,85/15,-5.74485797527413,0.2728466531227443
Rg norm w/0.427,No regr out,All,2,GPR,85/15,-15.666634979181406,0.3805737854711498
Rg norm w/0.427,No regr out,Inliers,2,GPR,85/15,-11.673971638584211,0.3740146310825391
Rg norm w/0.427,No regr out,All,2,Linear,90/10,-2.222455728323427,0.12511254299238658
Rg norm w/0.427,No regr out,Inliers,2,Linear,90/10,0.31702873482799,0.078550881796183
Rg norm w/0.427,No regr out,All,2,Ridge,90/10,-0.5520049100750615,0.08682682434779262
Rg norm w/0.427,No regr out,Inliers,2,Ridge,90/10,0.05870941708376143,0.09221715203832948
Rg norm w/0.427,No regr out,All,2,Lasso,90/10,-0.560982770785708,0.08707759516057437
Rg norm w/0.427,No regr out,Inliers,2,Lasso,90/10,0.15416225010303264,0.08741649327286322
Rg norm w/0.427,No regr out,All,2,Kernel Ridge,90/10,-21.79828156706921,0.33278092782426416
Rg norm w/0.427,No regr out,Inliers,2,Kernel Ridge,90/10,-2.326055770102977,0.17334631437520892
Rg norm w/0.427,No regr out,All,2,GPR,90/10,-32.10165931305317,0.40098881059829955
Rg norm w/0.427,No regr out,Inliers,2,GPR,90/10,-3.907134156054169,0.21055415420893733
Rg norm w/0.427,No regr out,All,1,Linear,80/20,-1.3104099723572347,0.19489595395014345
Rg norm w/0.427,No regr out,Inliers,1,Linear,80/20,0.3076809236998911,0.09481567717901944
Rg norm w/0.427,No regr out,All,1,Ridge,80/20,-0.027561273135318087,0.12997569911478393
Rg norm w/0.427,No regr out,Inliers,1,Ridge,80/20,0.12072901809440661,0.10685340654108966
Rg norm w/0.427,No regr out,All,1,Lasso,80/20,-0.07893303664472229,0.1331850701109079
Rg norm w/0.427,No regr out,Inliers,1,Lasso,80/20,0.13651205447147596,0.10589004710389696
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,80/20,-7.267915483567917,0.3686857161996143
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,80/20,-4.730802805179404,0.2727939499982748
Rg norm w/0.427,No regr out,All,1,GPR,80/20,-9.10080839688862,0.4075082116025618
Rg norm w/0.427,No regr out,Inliers,1,GPR,80/20,-6.076340933011131,0.30313171481167495
Rg norm w/0.427,No regr out,All,1,Linear,85/15,-1.7926795252623755,0.15578493542610075
Rg norm w/0.427,No regr out,Inliers,1,Linear,85/15,0.2685271992019652,0.08985273834610369
Rg norm w/0.427,No regr out,All,1,Ridge,85/15,-0.4921238271646655,0.11387210288762463
Rg norm w/0.427,No regr out,Inliers,1,Ridge,85/15,0.010128325474817235,0.10452536065443715
Rg norm w/0.427,No regr out,All,1,Lasso,85/15,-0.11358944668515836,0.09837335007299264
Rg norm w/0.427,No regr out,Inliers,1,Lasso,85/15,0.02424255834532707,0.10377748995624556
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,85/15,-11.500119297742822,0.3295884523010346
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,85/15,-5.725826331850466,0.2724614420167251
Rg norm w/0.427,No regr out,All,1,GPR,85/15,-15.6666349795929,0.3805737854758479
Rg norm w/0.427,No regr out,Inliers,1,GPR,85/15,-6.855329401595371,0.2944519446381436
Rg norm w/0.427,No regr out,All,1,Linear,90/10,-3.312791534392761,0.14473934565286076
Rg norm w/0.427,No regr out,Inliers,1,Linear,90/10,0.32912148270086816,0.07785236164292002
Rg norm w/0.427,No regr out,All,1,Ridge,90/10,-1.099453111902327,0.1009858351950266
Rg norm w/0.427,No regr out,Inliers,1,Ridge,90/10,0.052727035699460356,0.09250973140176794
Rg norm w/0.427,No regr out,All,1,Lasso,90/10,-0.6246604727108611,0.08883593526065682
