Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.421,No regr out,Inliers,1,Kernel Ridge,90/10,0.021327556743179654,0.11637066519490746
Rg norm w/0.421,No regr out,All,1,GPR,90/10,-3.598324779425451,0.2634587226339583
Rg norm w/0.421,No regr out,Inliers,1,GPR,90/10,-0.515903416070997,0.14483069097774606
Rg norm w/0.5,No regr out,All,1,Linear,80/20,-0.2497095685114612,0.12495981372939478
Rg norm w/0.5,No regr out,Inliers,1,Linear,80/20,0.047202962678912774,0.06642389866632377
Rg norm w/0.5,No regr out,All,1,Ridge,80/20,-0.006984550924413524,0.1121701305878549
Rg norm w/0.5,No regr out,Inliers,1,Ridge,80/20,0.12305160862323605,0.06372519619519854
Rg norm w/0.5,No regr out,All,1,Lasso,80/20,-0.009984246492430238,0.11233707755562987
Rg norm w/0.5,No regr out,Inliers,1,Lasso,80/20,0.0679139852044629,0.06569800157463775
Rg norm w/0.5,No regr out,All,1,Kernel Ridge,80/20,0.11392055616567232,0.105220933962902
Rg norm w/0.5,No regr out,Inliers,1,Kernel Ridge,80/20,0.164532562461283,0.06219979126874418
Rg norm w/0.5,No regr out,All,1,GPR,80/20,-6.577732064384232,0.3077056312768484
Rg norm w/0.5,No regr out,Inliers,1,GPR,80/20,-1.386797291891484,0.10513127502763499
Rg norm w/0.5,No regr out,All,1,Linear,85/15,-0.3073287937017062,0.13448847245692636
Rg norm w/0.5,No regr out,Inliers,1,Linear,85/15,-0.06832595108922646,0.07331793608784191
Rg norm w/0.5,No regr out,All,1,Ridge,85/15,0.02298912504257311,0.116263219877847
Rg norm w/0.5,No regr out,Inliers,1,Ridge,85/15,0.07746831721199732,0.06813166259785401
Rg norm w/0.5,No regr out,All,1,Lasso,85/15,-0.0013553975723705758,0.11770279317842317
Rg norm w/0.5,No regr out,Inliers,1,Lasso,85/15,-0.04215700430645697,0.07241439686414176
Rg norm w/0.5,No regr out,All,1,Kernel Ridge,85/15,0.07042699435102728,0.11340557353303231
Rg norm w/0.5,No regr out,Inliers,1,Kernel Ridge,85/15,0.16038330485480878,0.06499783255895566
Rg norm w/0.5,No regr out,All,1,GPR,85/15,-6.897902724722293,0.3305586588010932
Rg norm w/0.5,No regr out,Inliers,1,GPR,85/15,-1.299980770530182,0.10757725154620977
Rg norm w/0.5,No regr out,All,1,Linear,90/10,-0.17187326272015468,0.14663515508005473
Rg norm w/0.5,No regr out,Inliers,1,Linear,90/10,0.015332020669307056,0.077549289179728
Rg norm w/0.5,No regr out,All,1,Ridge,90/10,0.11202997756872068,0.12764297923321313
Rg norm w/0.5,No regr out,Inliers,1,Ridge,90/10,0.07603884545683237,0.07512072491646016
Rg norm w/0.5,No regr out,All,1,Lasso,90/10,0.042832941018334236,0.13252312001019986
Rg norm w/0.5,No regr out,Inliers,1,Lasso,90/10,0.05848051824524647,0.07583113724699152
Rg norm w/0.5,No regr out,All,1,Kernel Ridge,90/10,0.06842943707673388,0.13073915038375813
Rg norm w/0.5,No regr out,Inliers,1,Kernel Ridge,90/10,0.10033452585779135,0.07412649081354492
Rg norm w/0.5,No regr out,All,1,GPR,90/10,-3.3534700963086896,0.2826282457338153
Rg norm w/0.5,No regr out,Inliers,1,GPR,90/10,-0.4552931777422389,0.09427752233595753
Rg norm w/0.406,No regr out,All,1,Linear,80/20,-0.4955840958269284,0.07817005672733468
Rg norm w/0.406,No regr out,Inliers,1,Linear,80/20,0.004118197470314389,0.11177497711219259
Rg norm w/0.406,No regr out,All,1,Ridge,80/20,-0.015619654947072403,0.06441700910208097
Rg norm w/0.406,No regr out,Inliers,1,Ridge,80/20,0.041007441903820774,0.1096852702836094
Rg norm w/0.406,No regr out,All,1,Lasso,80/20,-0.03289397252365167,0.06496252239952921
Rg norm w/0.406,No regr out,Inliers,1,Lasso,80/20,0.02474620904416136,0.11061130465468702
Rg norm w/0.406,No regr out,All,1,Kernel Ridge,80/20,-0.1663940952955112,0.06903314577756982
Rg norm w/0.406,No regr out,Inliers,1,Kernel Ridge,80/20,0.09192071883475095,0.10673394819286795
Rg norm w/0.406,No regr out,All,1,GPR,80/20,-8.637279404570322,0.198432239187268
