Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.421,No regr out,Inliers,1,Kernel Ridge,90/10,0.4911991393576658,0.07387771757971708
Rg norm w/0.421,No regr out,All,1,GPR,90/10,-14.058117490597173,0.40152541656682167
Rg norm w/0.421,No regr out,Inliers,1,GPR,90/10,-1.2353219761746739,0.15484942424559633
Rg norm w/0.5,No regr out,All,1,Linear,80/20,0.045993282412620684,0.14919103268682887
Rg norm w/0.5,No regr out,Inliers,1,Linear,80/20,0.44739917359428627,0.05938411395673501
Rg norm w/0.5,No regr out,All,1,Ridge,80/20,0.0261437692518528,0.15073511177844617
Rg norm w/0.5,No regr out,Inliers,1,Ridge,80/20,0.2823089164557039,0.06767578331959591
Rg norm w/0.5,No regr out,All,1,Lasso,80/20,-0.002743349666177952,0.1529543732911737
Rg norm w/0.5,No regr out,Inliers,1,Lasso,80/20,0.42853703283961886,0.06038910064075621
Rg norm w/0.5,No regr out,All,1,Kernel Ridge,80/20,-0.005611376803534851,0.1531729556767994
Rg norm w/0.5,No regr out,Inliers,1,Kernel Ridge,80/20,0.4265395700001883,0.06049454908497336
Rg norm w/0.5,No regr out,All,1,GPR,80/20,-4.0641981234382,0.3437338858478867
Rg norm w/0.5,No regr out,Inliers,1,GPR,80/20,-1.944930217811069,0.1370888142713584
Rg norm w/0.5,No regr out,All,1,Linear,85/15,0.0893754362472674,0.16004537072506503
Rg norm w/0.5,No regr out,Inliers,1,Linear,85/15,0.4808334644460305,0.05981032104192934
Rg norm w/0.5,No regr out,All,1,Ridge,85/15,0.07817636008397533,0.16102650130160032
Rg norm w/0.5,No regr out,Inliers,1,Ridge,85/15,0.3071251773924296,0.069095565932984
Rg norm w/0.5,No regr out,All,1,Lasso,85/15,0.042148425760353825,0.16414306738428278
Rg norm w/0.5,No regr out,Inliers,1,Lasso,85/15,0.46202487789549607,0.06088409914494289
Rg norm w/0.5,No regr out,All,1,Kernel Ridge,85/15,-0.0322956340855487,0.17040231145883122
Rg norm w/0.5,No regr out,Inliers,1,Kernel Ridge,85/15,0.5133629911733196,0.05790623854808985
Rg norm w/0.5,No regr out,All,1,GPR,85/15,-3.936254605175404,0.37262519148905815
Rg norm w/0.5,No regr out,Inliers,1,GPR,85/15,-1.3401148213037972,0.12698176862942395
Rg norm w/0.5,No regr out,All,1,Linear,90/10,-0.5482514860194847,0.13830648851986113
Rg norm w/0.5,No regr out,Inliers,1,Linear,90/10,0.4748741809949294,0.053235699472923156
Rg norm w/0.5,No regr out,All,1,Ridge,90/10,-0.10645702941488722,0.11692007316932246
Rg norm w/0.5,No regr out,Inliers,1,Ridge,90/10,0.4292668108294372,0.05549934311873825
Rg norm w/0.5,No regr out,All,1,Lasso,90/10,-0.2010674067030589,0.12181632494230864
Rg norm w/0.5,No regr out,Inliers,1,Lasso,90/10,0.4529976315234364,0.05433327484336775
Rg norm w/0.5,No regr out,All,1,Kernel Ridge,90/10,0.014929508288475168,0.1103203058561921
Rg norm w/0.5,No regr out,Inliers,1,Kernel Ridge,90/10,0.5298018122974152,0.0503746166520618
Rg norm w/0.5,No regr out,All,1,GPR,90/10,-13.999705400258403,0.43049009866247656
Rg norm w/0.5,No regr out,Inliers,1,GPR,90/10,-1.2110239184079967,0.10923655595860982
Rg norm w/0.406,No regr out,All,1,Linear,80/20,0.030670964935374245,0.08872079299339602
Rg norm w/0.406,No regr out,Inliers,1,Linear,80/20,0.38722055110735565,0.09681553224532975
Rg norm w/0.406,No regr out,All,1,Ridge,80/20,0.10546289413043841,0.08522931227612167
Rg norm w/0.406,No regr out,Inliers,1,Ridge,80/20,0.22925810432807825,0.10857939686236419
Rg norm w/0.406,No regr out,All,1,Lasso,80/20,-0.0013767771013046826,0.09017550057243476
