Normlaization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,85/15,-7.08578163898907,3.2792123807508773
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,90/10,-10.766987445914252,4.0062208232607315
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,90/10,-1.1713313776752385,1.905271932622092
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,90/10,-0.5388453952206194,1.448770964750962
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,90/10,0.03808390065616174,1.2681263078814404
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,90/10,-0.4671998797006096,1.4146430825861065
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,90/10,-0.08413479911724253,1.3462805081030254
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,90/10,-0.9947022737620901,1.6494580708534934
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,90/10,0.015102272031360164,1.2831856179113053
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,90/10,-4.933346885089465,2.8448024196087847
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,90/10,-5.421263322392262,3.2764546066554447
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,80/20,-11.108745709589323,3.841110574540566
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,80/20,-1.804061469236315,1.8596843377000565
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,80/20,-0.7165917818947298,1.4462412503468147
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,80/20,-0.15373664084130945,1.19288564183954
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,80/20,-1.1087437421739788,1.602946890638754
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,80/20,-0.3081779038923169,1.2702197854665964
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,80/20,-0.6174603910810694,1.4038608315526837
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,80/20,-0.2753066113518259,1.2541595055718635
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,80/20,-5.805635002181698,2.8796622734067294
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,80/20,-7.175542493287393,3.175438884912889
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,85/15,-7.20296302380085,3.315036820858298
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,85/15,-1.707521457108582,1.8975555309620569
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,85/15,-0.7188083153267792,1.5174580806677929
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,85/15,-0.24434895466708428,1.286410671845729
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,85/15,-0.7997003013351662,1.5527554931329113
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,85/15,-0.4072318201723475,1.3680165895899192
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,85/15,-0.5925788535965002,1.4606745150770795
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,85/15,-0.4187824809729621,1.3736195054737783
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,85/15,-5.0746558538170845,2.852750690166317
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,85/15,-7.085850369480971,3.279226317647215
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,90/10,-2.115238373856447,2.0613316942728734
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,90/10,-0.611903970288096,1.6415854648248516
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,90/10,-0.5388453952205947,1.4487709647509501
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,90/10,0.038083900656164626,1.2681263078814387
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,90/10,-0.4671998797006096,1.4146430825861065
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,90/10,-0.08413479911724253,1.3462805081030254
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,90/10,-0.9947022737620579,1.64945807085348
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,90/10,0.015102272031373709,1.2831856179112964
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,90/10,-4.933346622008591,2.8448023565404075
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,90/10,-5.421263322392262,3.2764546066554447
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,80/20,-2.337148691383318,2.016485060705312
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,80/20,-0.374423294684775,1.301984224685961
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,80/20,-0.7165303271645582,1.446215362083156
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,80/20,-0.15375394019299726,1.1928945849857295
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,80/20,-1.1087437421739788,1.602946890638754
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,80/20,-0.3081779038923169,1.2702197854665964
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,80/20,-0.6173870793094798,1.4038290160314402
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,80/20,-0.27465281887736137,1.2538379887086448
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,80/20,-5.8052350126185965,2.879577648549605
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,80/20,-7.175137487312172,3.1753602303372825
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,85/15,-1.8200103070642877,1.9436959397393216
