Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,-6.105600583944245,3.056179235097355
Rg w/no norm,No regr out,All,1,GPR,80/20,-0.6197070300160199,3.381340864090191
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-5.740519881607056,2.9766318326777106
Rg w/no norm,No regr out,All,1,Linear,85/15,0.4093626747639939,2.2252536535798515
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.41823547576193587,0.8538868274566771
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.2820520577074612,2.453384154423768
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.5256383743500068,0.7710480994103814
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.1983099675823835,2.592521223555637
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.5017339699251511,0.7902369569272383
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.3076471369617523,2.4092553089626314
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,-6.087704618965072,2.980433948825497
Rg w/no norm,No regr out,All,1,GPR,85/15,-0.43427361572134515,3.467648616405298
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-9.75014690521222,3.6705732575978858
Rg w/no norm,No regr out,All,1,Linear,90/10,-0.48748240788746355,1.5218036872805512
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.2777463922111989,0.8859139265312399
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.2319087623222773,1.0935511921012395
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.36472990666762695,0.8308562174635041
Rg w/no norm,No regr out,All,1,Lasso,90/10,0.13789659501015716,1.1585436286658166
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.4000647470544114,0.8074188050733003
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,-1.6965711748798578,2.048984423499296
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,-5.373842399408941,2.631766347599849
Rg w/no norm,No regr out,All,1,GPR,90/10,-4.897891676773678,3.030268483242564
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,-10.008454908746595,3.458675780973803
Rg norm w/0.427,No regr out,All,1,Linear,80/20,0.30611755006662034,0.24056668054604768
Rg norm w/0.427,No regr out,Inliers,1,Linear,80/20,0.09142636438988061,0.09200709474340876
Rg norm w/0.427,No regr out,All,1,Ridge,80/20,0.08032015010211813,0.2769560519539216
Rg norm w/0.427,No regr out,Inliers,1,Ridge,80/20,0.11315115865903491,0.0909004542781083
Rg norm w/0.427,No regr out,All,1,Lasso,80/20,0.07501827473262446,0.27775321863543884
Rg norm w/0.427,No regr out,Inliers,1,Lasso,80/20,0.2136531681686693,0.08559498552663442
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,80/20,0.0998877276099267,0.27399388197935365
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,80/20,-8.963896360485618,0.3046883527978002
Rg norm w/0.427,No regr out,All,1,GPR,80/20,-0.7102034244026765,0.3776734103219074
Rg norm w/0.427,No regr out,Inliers,1,GPR,80/20,-8.58822210398262,0.2988892497752277
Rg norm w/0.427,No regr out,All,1,Linear,85/15,0.3445954372063975,0.26154884339087026
Rg norm w/0.427,No regr out,Inliers,1,Linear,85/15,-0.4699152706515102,0.09670178978586765
Rg norm w/0.427,No regr out,All,1,Ridge,85/15,0.0769505697097933,0.31039202401043897
Rg norm w/0.427,No regr out,Inliers,1,Ridge,85/15,-0.4128588855711526,0.09480642165055513
Rg norm w/0.427,No regr out,All,1,Lasso,85/15,0.07137430894926178,0.31132817143451663
Rg norm w/0.427,No regr out,Inliers,1,Lasso,85/15,-0.05175375189532616,0.08179851065232038
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,85/15,0.4780595535282841,0.23340413725123646
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,85/15,-10.614421942699238,0.2718236007562315
Rg norm w/0.427,No regr out,All,1,GPR,85/15,-0.4303914116742815,0.3863896818747527
Rg norm w/0.427,No regr out,Inliers,1,GPR,85/15,-10.231921965687864,0.2673101195303259
Rg norm w/0.427,No regr out,All,1,Linear,90/10,-5.537520817533613,0.18904773218380483
Rg norm w/0.427,No regr out,Inliers,1,Linear,90/10,-0.45292125784580195,0.09845528328768274
Rg norm w/0.427,No regr out,All,1,Ridge,90/10,-0.5704578852246214,0.09265696629696472
Rg norm w/0.427,No regr out,Inliers,1,Ridge,90/10,-0.38405034469133925,0.09609348210130743
Rg norm w/0.427,No regr out,All,1,Lasso,90/10,-0.49939275650414094,0.09053627744473539
Rg norm w/0.427,No regr out,Inliers,1,Lasso,90/10,0.004506839395323037,0.08149615655199646
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,90/10,-10.672960547565335,0.2526128498538094
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,90/10,-10.53739234186645,0.27744175173287944
Rg norm w/0.427,No regr out,All,1,GPR,90/10,-20.896596561209012,0.34598178731193674
Rg norm w/0.427,No regr out,Inliers,1,GPR,90/10,-10.110903841624372,0.27226554277938303
Rg norm w/0.427,No regr out,All,2,Linear,80/20,0.10990636584617453,0.27246478007735714
Rg norm w/0.427,No regr out,Inliers,2,Linear,80/20,0.08104851112785849,0.09253106164321225
