Normlaization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,85/15,-7.085781635998961,3.2792123801445534
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,90/10,-10.766987445914173,4.006220823260718
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,90/10,-1.1713313776745862,1.9052719326218055
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,90/10,-0.5388453952206198,1.4487709647509621
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,90/10,0.03808390065616207,1.2681263078814402
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,90/10,-0.4671998797006094,1.4146430825861063
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,90/10,-0.08413479911724253,1.3462805081030254
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,90/10,-0.9947022737620932,1.6494580708534947
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,90/10,0.015102272031356723,1.2831856179113075
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,90/10,-4.933346885087324,2.8448024196082713
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,90/10,-5.421263322392262,3.2764546066554447
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,80/20,-11.108745709589165,3.841110574540541
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,80/20,-1.8040614692362662,1.8596843377000403
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,80/20,-0.7165917818947298,1.4462412503468147
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,80/20,-0.15373664084130922,1.1928856418395397
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,80/20,-1.1087437421739788,1.602946890638754
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,80/20,-0.3081779038923167,1.2702197854665962
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,80/20,-0.6174603910810814,1.4038608315526888
