Normalization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,0.34491376406849816,1.1451644876538967
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.5213916695002199,0.9763269413565017
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.5007523984411495,0.9997159660314876
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.520237992294183,0.9775029428084365
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.501402700775982,0.9990646564729442
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.5214608336695219,0.9762563938155043
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,0.49487449562837016,1.0055838343533907
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,0.4898965719023396,1.0079390426516746
Rg w/no norm,No regr out,All,1,GPR,80/20,-0.9085527410457928,1.9546577123231434
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-0.9682391237030104,1.9799037445778653
Rg w/no norm,No regr out,All,1,Linear,85/15,0.2928654607042266,1.1917224608912715
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.5260046004771556,1.0255224090940622
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.44875151077157105,1.0521988084334086
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.5283018045146451,1.0230343094961314
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.47369965052274476,1.0281131848744827
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.5272187682768216,1.0242080981357122
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.4421551815136432,1.058475478565484
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,0.5422237489161505,1.0078240563662222
Rg w/no norm,No regr out,All,1,GPR,85/15,-1.20426171608151,2.1040481706002025
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-1.1807902844570726,2.1997080458165867
Rg w/no norm,No regr out,All,1,Linear,90/10,0.23992614697861803,1.2313390467331569
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.5397436910981922,1.0554975512637508
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.4194619761294809,1.0761308711180668
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.5397987572221419,1.055434408297067
Rg w/no norm,No regr out,All,1,Lasso,90/10,0.4691005628613787,1.0290959938745152
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.5404478282332665,1.0546898496824486
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,0.4154330946328556,1.0798585404445116
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,0.5702947847007895,1.0198649518957028
Rg w/no norm,No regr out,All,1,GPR,90/10,-1.4905747601784265,2.228945996471219
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,-1.8102722901417905,2.6081439381741496
Rg norm w/0.421,No regr out,All,1,Linear,80/20,-0.45453138958511974,0.14306545222390968
Rg norm w/0.421,No regr out,Inliers,1,Linear,80/20,0.08719103573900111,0.11590711029752349
Rg norm w/0.421,No regr out,All,1,Ridge,80/20,-0.1017138942831124,0.12451097567060918
Rg norm w/0.421,No regr out,Inliers,1,Ridge,80/20,0.040896371043271484,0.11880997305485318
Rg norm w/0.421,No regr out,All,1,Lasso,80/20,-0.0694518635436221,0.12267437210636102
Rg norm w/0.421,No regr out,Inliers,1,Lasso,80/20,0.08685602752206156,0.11592837776629841
Rg norm w/0.421,No regr out,All,1,Kernel Ridge,80/20,0.005665920661761192,0.11828764493324971
Rg norm w/0.421,No regr out,Inliers,1,Kernel Ridge,80/20,0.057558015697549925,0.11777346234304649
Rg norm w/0.421,No regr out,All,1,GPR,80/20,-3.1133676874366243,0.24058690710321823
Rg norm w/0.421,No regr out,Inliers,1,GPR,80/20,-1.5851750655211472,0.195058602993748
Rg norm w/0.421,No regr out,All,1,Linear,85/15,-0.5352114429873518,0.1549324789726368
Rg norm w/0.421,No regr out,Inliers,1,Linear,85/15,-0.07237116802563381,0.126951981484975
Rg norm w/0.421,No regr out,All,1,Ridge,85/15,-0.07252594052010952,0.12949776496211018
Rg norm w/0.421,No regr out,Inliers,1,Ridge,85/15,-0.06732264005491118,0.12665279554831146
Rg norm w/0.421,No regr out,All,1,Lasso,85/15,-0.03487653244029598,0.1272045481802827
Rg norm w/0.421,No regr out,Inliers,1,Lasso,85/15,-0.05438982593020758,0.12588312705258128
Rg norm w/0.421,No regr out,All,1,Kernel Ridge,85/15,0.011763213981896614,0.12430508027642807
Rg norm w/0.421,No regr out,Inliers,1,Kernel Ridge,85/15,0.07133453824096214,0.11813989111954946
Rg norm w/0.421,No regr out,All,1,GPR,85/15,-3.1265647699279633,0.25401110480681
Rg norm w/0.421,No regr out,Inliers,1,GPR,85/15,-1.975114183354485,0.21145537963845568
Rg norm w/0.421,No regr out,All,1,Linear,90/10,-1.1792177078921808,0.15842502351422866
Rg norm w/0.421,No regr out,Inliers,1,Linear,90/10,-0.13369841436376428,0.13778422400751322
Rg norm w/0.421,No regr out,All,1,Ridge,90/10,-0.4607390314605473,0.12970591675059323
Rg norm w/0.421,No regr out,Inliers,1,Ridge,90/10,-0.13352394162257686,0.13777362131286067
Rg norm w/0.421,No regr out,All,1,Lasso,90/10,-0.37669097457272716,0.12591912676962225
Rg norm w/0.421,No regr out,Inliers,1,Lasso,90/10,-0.1179758936798041,0.13682546874094725
Rg norm w/0.421,No regr out,All,1,Kernel Ridge,90/10,-0.1435343861856655,0.11476199381513019
Rg norm w/0.421,No regr out,Inliers,1,Kernel Ridge,90/10,0.03849631616377247,0.12688965053285073
Rg norm w/0.421,No regr out,All,1,GPR,90/10,-4.103727265564308,0.2424472150586257
Rg norm w/0.421,No regr out,Inliers,1,GPR,90/10,-2.593051007819924,0.24529145330596866
Rg norm w/0.5,No regr out,All,1,Linear,80/20,-0.45694501126516274,0.15368142832520493
Rg norm w/0.5,No regr out,Inliers,1,Linear,80/20,0.13342772772857103,0.07870110400770383
Rg norm w/0.5,No regr out,All,1,Ridge,80/20,-0.10451161278466459,0.13380888476235225
Rg norm w/0.5,No regr out,Inliers,1,Ridge,80/20,0.07958600053241704,0.08110918509334238
Rg norm w/0.5,No regr out,All,1,Lasso,80/20,-0.12334840358918275,0.13494507657669352
Rg norm w/0.5,No regr out,Inliers,1,Lasso,80/20,0.12938890365295397,0.0788842915056174
Rg norm w/0.5,No regr out,All,1,Kernel Ridge,80/20,0.005465396866938477,0.12697252525205663
Rg norm w/0.5,No regr out,Inliers,1,Kernel Ridge,80/20,0.16608343437643314,0.07720398732967099
Rg norm w/0.5,No regr out,All,1,GPR,80/20,-3.1022477654350222,0.25787589687492085
Rg norm w/0.5,No regr out,Inliers,1,GPR,80/20,-1.3612365065275256,0.1299116727444194
Rg norm w/0.5,No regr out,All,1,Linear,85/15,-0.5488337464122897,0.16640160921104583
Rg norm w/0.5,No regr out,Inliers,1,Linear,85/15,-0.025482919827946038,0.08649118797277507
