Normalization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,0.5475002181596123,1.084325386504283
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.5192143686381399,1.0250962950907194
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.6176168305696503,0.9967811647173932
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.519812188106034,1.0244587831732712
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.6318356918517241,0.9780730226434036
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.5027057464896159,1.0425470033134105
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,0.5850449141290397,1.038367255951142
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,0.5239728790461136,1.0200108049709784
Rg w/no norm,No regr out,All,1,GPR,80/20,-0.9215331992215317,2.234469262284405
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-0.034018735559540936,1.5033258587812024
Rg w/no norm,No regr out,All,1,Linear,85/15,0.46554838614389216,1.2375606705612705
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.4469119949736239,1.1326315289783782
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.5567740358717828,1.1270025518130293
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.4515110279260709,1.1279126746440866
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.5838626689001778,1.092020123315952
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.4475271211013684,1.1320015161568853
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.5127773526946162,1.1816151110114126
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,0.4510238965157817,1.1284134319788794
Rg w/no norm,No regr out,All,1,GPR,85/15,-0.9009545520491313,2.333985586030324
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-0.07177479314588586,1.5766790474353847
Rg w/no norm,No regr out,All,1,Linear,90/10,0.49017623859228066,1.3623570728694554
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.4168732618649016,1.2568631036564586
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.5626293781152945,1.2618441495338937
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.4168991295031007,1.256835225976982
Rg w/no norm,No regr out,All,1,Lasso,90/10,0.5788034484678781,1.2382927145987626
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.4172010428828936,1.2565098067221898
