Normalization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.421,No regr out,Inliers,1,Kernel Ridge,90/10,0.482139440704897,0.07453254809841203
Rg norm w/0.421,No regr out,All,1,GPR,90/10,-13.822427452309778,0.39837068035733514
Rg norm w/0.421,No regr out,Inliers,1,GPR,90/10,-1.84292647148242,0.1746314116577818
Rg norm w/0.5,No regr out,All,1,Linear,80/20,0.0382673253776441,0.1497939211353136
Rg norm w/0.5,No regr out,Inliers,1,Linear,80/20,0.412788629592855,0.06121554834949077
Rg norm w/0.5,No regr out,All,1,Ridge,80/20,0.022881612877005075,0.15098736174863778
Rg norm w/0.5,No regr out,Inliers,1,Ridge,80/20,0.41235774723850616,0.0612380035198463
Rg norm w/0.5,No regr out,All,1,Lasso,80/20,-0.002743349666177952,0.1529543732911737
Rg norm w/0.5,No regr out,Inliers,1,Lasso,80/20,0.39495407918588554,0.062138202284919175
Rg norm w/0.5,No regr out,All,1,Kernel Ridge,80/20,-0.009587710192068721,0.15347549095770752
Rg norm w/0.5,No regr out,Inliers,1,Kernel Ridge,80/20,0.438859986992743,0.05984117808817629
Rg norm w/0.5,No regr out,All,1,GPR,80/20,-4.287692589717069,0.35123687380783003
Rg norm w/0.5,No regr out,Inliers,1,GPR,80/20,-1.910456235232492,0.1362840566915392
Rg norm w/0.5,No regr out,All,1,Linear,85/15,0.049363083379168726,0.16352372590441294
Rg norm w/0.5,No regr out,Inliers,1,Linear,85/15,0.43556981179642906,0.062363130096783424
Rg norm w/0.5,No regr out,All,1,Ridge,85/15,0.06844424311878072,0.16187428505513146
Rg norm w/0.5,No regr out,Inliers,1,Ridge,85/15,0.42805403388883434,0.06277696112219838
Rg norm w/0.5,No regr out,All,1,Lasso,85/15,0.04126074133810553,0.16421910917672403
Rg norm w/0.5,No regr out,Inliers,1,Lasso,85/15,0.4202088768545972,0.06320603816020885
Rg norm w/0.5,No regr out,All,1,Kernel Ridge,85/15,-0.03447302604069513,0.17058192917868925
Rg norm w/0.5,No regr out,Inliers,1,Kernel Ridge,85/15,0.5108202420087393,0.05805732570229963
Rg norm w/0.5,No regr out,All,1,GPR,85/15,-4.18020085492135,0.38172160031390584
Rg norm w/0.5,No regr out,Inliers,1,GPR,85/15,-1.4580920444774135,0.13014331316049685
Rg norm w/0.5,No regr out,All,1,Linear,90/10,-0.4615490239756377,0.1343780999246001
Rg norm w/0.5,No regr out,Inliers,1,Linear,90/10,0.4166126445144974,0.05611122946097945
Rg norm w/0.5,No regr out,All,1,Ridge,90/10,-0.12691442906719952,0.11799599645832713
Rg norm w/0.5,No regr out,Inliers,1,Ridge,90/10,0.2862623510902351,0.062064117109924634
Rg norm w/0.5,No regr out,All,1,Lasso,90/10,-0.20164266858381907,0.121845493954346
Rg norm w/0.5,No regr out,Inliers,1,Lasso,90/10,0.39891174523631434,0.056956120443989754
