Normalization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,0.6429735819395845,1.0063156102731903
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.8053378620989371,0.6338816159543863
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.6490407307832569,0.9977285317801592
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.8100680016705594,0.6261328373451919
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.6473808441112527,1.000085162413019
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.8075158153184213,0.6303255884584698
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,0.6499667667817114,0.9964113663818848
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,0.8154934979562891,0.617125155578441
Rg w/no norm,No regr out,All,1,GPR,80/20,-0.31360061648117155,1.9302595288397792
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,0.31838331296459144,1.1861442805316886
Rg w/no norm,No regr out,All,1,Linear,85/15,0.6509338580438101,1.033304885275415
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.7756798228776316,0.6429281017569576
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.6462761921915715,1.0401758475422993
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.7766882069073996,0.641481400271285
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.6453104120736493,1.0415948874222583
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.7762586520260001,0.6420980696373815
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.6532572074003337,1.0298603570714908
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,0.7774063682383007,0.6404490810324104
Rg w/no norm,No regr out,All,1,GPR,85/15,-0.4589688413546449,2.112504428878362
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,0.3249487061115851,1.1153126451937938
Rg w/no norm,No regr out,All,1,Linear,90/10,0.6673988360029417,1.1109737055977047
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.7554169395482706,0.6965515874853967
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.655008225977532,1.1314784003266471
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.762964934450934,0.6857193387875024
Rg w/no norm,No regr out,All,1,Lasso,90/10,0.6601716827492298,1.1229791174248551
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.7590005437967275,0.6914298586701912
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,0.6606604476319462,1.1221712532363648
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,0.7745452505215682,0.6687592363531881
Rg w/no norm,No regr out,All,1,GPR,90/10,-0.5042880839283193,2.3626936032487516
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,0.40015831803954194,1.0908333804738222
Rg norm w/0.421,No regr out,All,1,Linear,80/20,-0.08477260208741311,0.11280076593157368
Rg norm w/0.421,No regr out,Inliers,1,Linear,80/20,0.044409570993009906,0.0834471264809344
