Normalization,Regressing out,Points,Model,PCA Components,Regression Type,RMSE Score
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,10,GPR,0.0723352127020706
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,20,Kernel Ridge,0.07255654019712073
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,20,Ridge,0.07287709329111038
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,10,Kernel Ridge,0.07389202985635748
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,10,Lasso,0.07390720903151815
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,10,Ridge,0.07482787949874653
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,GPR,0.07537336211179498
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,20,Linear,0.07635911990665321
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,10,Linear,0.07656401800508546
Rg norm w/0.5,pH regr out,All,ProtBERT,10,Kernel Ridge,0.07820972287938673
Rg norm w/0.5,pH regr out,All,ProtBERT,100,Kernel Ridge,0.07883973144263688
Rg norm w/0.5,pH regr out,All,ProtBERT,20,GPR,0.07897120189178987
Rg norm w/0.5,pH regr out,All,ProtBERT,190,Kernel Ridge,0.07923769012604194
Rg norm w/0.5,pH regr out,All,ProtBERT,50,Kernel Ridge,0.07997031300886094
Rg norm w/0.5,pH regr out,All,ProtBERT,100,GPR,0.08065665269000784
Rg norm w/0.5,pH regr out,All,ProtBERT,190,GPR,0.08068606922793864
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,GPR,0.08081897625648721
Rg norm w/0.5,pH regr out,All,ProtBERT,50,GPR,0.08108060868264728
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,Kernel Ridge,0.08126843826928733
Rg norm w/0.5,pH regr out,All,ProtBERT,20,Kernel Ridge,0.08139799842822686
Rg norm w/0.5,pH regr out,All,ProtBERT,10,GPR,0.08182540017899963
