Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Ridge,90/10,0.4804860222192303,0.0479849122364915,1
Rg norm w/0.5,pH regr out,All,ProtBERT,50,Kernel Ridge,90/10,0.4365068609085897,0.0479872229223255,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Ridge,90/10,0.4804928704364177,0.0479874220937499,1
Rg norm w/0.5,pH regr out,All,ProtBERT,100,Kernel Ridge,90/10,0.436015060858097,0.0480081592655521,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Kernel Ridge,90/10,0.3117565437719916,0.0480300320392777,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Ridge,90/10,0.4676574596266863,0.0485737544141223,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Ridge,90/10,0.4676662960487869,0.0485762120732184,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,Kernel Ridge,90/10,0.2951992430627121,0.0486043357054984,4
Rg norm w/0.5,pH regr out,All,ProtBERT,50,GPR,90/10,0.4193189507138632,0.0487135890065922,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Ridge,90/10,0.2893152411551902,0.048806799728043,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Ridge,90/10,0.289288522978715,0.0488094043540218,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Kernel Ridge,85/15,0.3498352120973644,0.0488177995962034,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,GPR,85/15,0.340007590363595,0.0491853706158687,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,Kernel Ridge,90/10,0.2774170859984513,0.0492153624066663,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Kernel Ridge,85/15,0.3379921762078307,0.0492604118805694,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,50,Linear,90/10,0.4979398841451727,0.0493120558791224,1
Rg norm w/0.5,pH regr out,All,ProtBERT,190,GPR,90/10,0.3986281497157536,0.0495738728880177,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,GPR,85/15,0.3290517545650769,0.0495919275076554,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,GPR,85/15,0.2608999348879124,0.0495929965695633,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Kernel Ridge,85/15,0.2552926004873433,0.0497807648324748,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Kernel Ridge,90/10,0.1209906981240472,0.0498403860035567,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Kernel Ridge,85/15,0.2532552322013641,0.0498489109668884,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Kernel Ridge,85/15,0.2480107443973844,0.0500235545083089,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Ridge,90/10,0.2492668610688976,0.0501631296891024,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Ridge,90/10,0.2492426913817895,0.050165671249326,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,50,Kernel Ridge,90/10,0.4788404857371215,0.0502412670533761,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,GPR,85/15,0.3112474383030674,0.0502456063238932,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,100,Kernel Ridge,90/10,0.4787200522718486,0.0502470717832176,1
