Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Ridge,85/15,0.43984569179527633,1.0786922035473732
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Lasso,85/15,0.4453579256869583,1.073371612362198
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Kernel Ridge,85/15,0.6072351542201095,0.9032542304853378
Rg w/no norm,No regr out,Inliers,ProtBERT,20,GPR,85/15,0.1617220111506733,1.3195860961066466
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Linear,90/10,0.37806112206710407,1.1707731954934135
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Ridge,90/10,0.3766768978981655,1.172075342601569
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Lasso,90/10,0.37581597583887527,1.1728844874327669
Rg w/no norm,No regr out,Inliers,ProtBERT,20,Kernel Ridge,90/10,0.5076731827321493,1.0416592247821457
Rg w/no norm,No regr out,Inliers,ProtBERT,20,GPR,90/10,0.06604410034882469,1.434703318526854
Rg w/no norm,No regr out,All,ProtBERT,50,Linear,80/20,-0.4659863522107355,4.305992062721215
Rg w/no norm,No regr out,All,ProtBERT,50,Ridge,80/20,-0.12977416504739825,3.7801068941209444
Rg w/no norm,No regr out,All,ProtBERT,50,Lasso,80/20,-0.03971770505735517,3.6263187966790795
Rg w/no norm,No regr out,All,ProtBERT,50,Kernel Ridge,80/20,-0.0965352093997347,3.7240847175602165
Rg w/no norm,No regr out,All,ProtBERT,50,GPR,80/20,-0.13441550418843562,3.7878636548075764
Rg w/no norm,No regr out,All,ProtBERT,50,Linear,85/15,-2.676798647078958,3.134667429733931
Rg w/no norm,No regr out,All,ProtBERT,50,Ridge,85/15,-0.4108655435368662,1.9417770392993643
Rg w/no norm,No regr out,All,ProtBERT,50,Lasso,85/15,-0.089118008609123,1.706058887276172
Rg w/no norm,No regr out,All,ProtBERT,50,Kernel Ridge,85/15,-0.3213514281807883,1.879168470606718
Rg w/no norm,No regr out,All,ProtBERT,50,GPR,85/15,-0.9319533136200917,2.272243456881132
Rg w/no norm,No regr out,All,ProtBERT,50,Linear,90/10,-0.08802241999513138,1.8874963078645235
Rg w/no norm,No regr out,All,ProtBERT,50,Ridge,90/10,0.16784256417872234,1.6507067894992749
Rg w/no norm,No regr out,All,ProtBERT,50,Lasso,90/10,0.19889933714826868,1.6196110607404044
Rg w/no norm,No regr out,All,ProtBERT,50,Kernel Ridge,90/10,-0.17820434824168707,1.9641628793700041
Rg w/no norm,No regr out,All,ProtBERT,50,GPR,90/10,-0.7353673330588684,2.3837620280918115
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Linear,80/20,0.4650633399438757,0.9950574517429462
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Ridge,80/20,0.5892927249574376,0.8718929647136748
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Lasso,80/20,0.6139467087236299,0.8453189504741827
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Kernel Ridge,80/20,0.6244920356983505,0.833693761616789
Rg w/no norm,No regr out,Inliers,ProtBERT,50,GPR,80/20,0.2584401410015795,1.1715749630117733
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Linear,85/15,0.673372163050454,0.8237023347206729
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Ridge,85/15,0.6351386705782214,0.870577858774798
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Lasso,85/15,0.6774589292615721,0.8185330340700246
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Kernel Ridge,85/15,0.7063555965520029,0.781006347535062
Rg w/no norm,No regr out,Inliers,ProtBERT,50,GPR,85/15,0.4816297353064626,1.0376807019142325
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Linear,90/10,0.6397633186844514,0.8910311447416057
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Ridge,90/10,0.6049193605455965,0.9331292260507064
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Lasso,90/10,0.6108089978546526,0.9261478299822214
Rg w/no norm,No regr out,Inliers,ProtBERT,50,Kernel Ridge,90/10,0.6661746279410686,0.8577457775016851
Rg w/no norm,No regr out,Inliers,ProtBERT,50,GPR,90/10,0.4252910245396404,1.125441454234625
Rg w/no norm,No regr out,All,ProtBERT,100,Linear,80/20,-6.677127755019641,9.85388853277991
Rg w/no norm,No regr out,All,ProtBERT,100,Ridge,80/20,-0.1120269341007607,3.750299176195207
Rg w/no norm,No regr out,All,ProtBERT,100,Lasso,80/20,-0.03971770593225976,3.6263187982048217
Rg w/no norm,No regr out,All,ProtBERT,100,Kernel Ridge,80/20,-0.07504301302936689,3.687407900226137
Rg w/no norm,No regr out,All,ProtBERT,100,GPR,80/20,-0.09388964572463165,3.71958953450334
Rg w/no norm,No regr out,All,ProtBERT,100,Linear,85/15,-37.07637935805052,10.087519108230937
Rg w/no norm,No regr out,All,ProtBERT,100,Ridge,85/15,-0.44084378588504114,1.9622981605983183
Rg w/no norm,No regr out,All,ProtBERT,100,Lasso,85/15,-1.3601574115271915,2.511464435355706
Rg w/no norm,No regr out,All,ProtBERT,100,Kernel Ridge,85/15,-0.2865778356232833,1.8542768679535198
Rg w/no norm,No regr out,All,ProtBERT,100,GPR,85/15,-0.9123582547805,2.260690843404612
Rg w/no norm,No regr out,All,ProtBERT,100,Linear,90/10,-1.4303345796287354,2.820981392987793
Rg w/no norm,No regr out,All,ProtBERT,100,Ridge,90/10,0.1075296505885982,1.7094802461787448
