Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,pH regr out,All,-1,Ridge,85/15,0.3323319560084883,2.373498307328525
Rg w/no norm,pH regr out,All,-1,Lasso,85/15,0.2666127509849898,2.487569988139932
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,85/15,0.32388158941326584,2.3884712168600437
Rg w/no norm,pH regr out,All,-1,GPR,85/15,0.5499437927204381,1.9486866462625712
Rg w/no norm,pH regr out,All,-1,Linear,90/10,-5620785172.835925,69791.32004164648
Rg w/no norm,pH regr out,All,-1,Ridge,90/10,0.29814591242849353,0.7798774016156127
Rg w/no norm,pH regr out,All,-1,Lasso,90/10,-0.054516327051212565,0.9559376645137007
Rg w/no norm,pH regr out,All,-1,Kernel Ridge,90/10,0.48104003975030063,0.6706097217966893
Rg w/no norm,pH regr out,All,-1,GPR,90/10,-0.72600931725186,1.222994452667687
Rg norm w/0.427,pH regr out,All,-1,Linear,80/20,-885172676.1021978,8783.683066753307
Rg norm w/0.427,pH regr out,All,-1,Ridge,80/20,0.30850831205664675,0.245502624485027
Rg norm w/0.427,pH regr out,All,-1,Lasso,80/20,0.2636049518770325,0.25334835391904736
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,80/20,0.8769659117101992,0.10355602814423177
Rg norm w/0.427,pH regr out,All,-1,GPR,80/20,0.5814055316829126,0.19101144921663754
Rg norm w/0.427,pH regr out,All,-1,Linear,85/15,-777359333.3418852,9233.679999967197
Rg norm w/0.427,pH regr out,All,-1,Ridge,85/15,0.30488882128341455,0.27611566551892264
Rg norm w/0.427,pH regr out,All,-1,Lasso,85/15,0.2423560507856365,0.2882680367474703
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,85/15,0.8987397047013765,0.10538614187610276
Rg norm w/0.427,pH regr out,All,-1,GPR,85/15,0.5988119294291417,0.20976736174961683
Rg norm w/0.427,pH regr out,All,-1,Linear,90/10,-12248888639.831955,9336.344350424573
Rg norm w/0.427,pH regr out,All,-1,Ridge,90/10,-0.28065372914090414,0.09546504407278555
Rg norm w/0.427,pH regr out,All,-1,Lasso,90/10,-1.0719654884978875,0.12142826139041028
Rg norm w/0.427,pH regr out,All,-1,Kernel Ridge,90/10,0.0865975900319702,0.08062311888768804
Rg norm w/0.427,pH regr out,All,-1,GPR,90/10,-0.09504576187369573,0.08827640784936518
Rg norm w/0.5,pH regr out,All,-1,Linear,80/20,-915414743.5982747,6234.031707961091
Rg norm w/0.5,pH regr out,All,-1,Ridge,80/20,0.3134464014961367,0.17072506200411744
Rg norm w/0.5,pH regr out,All,-1,Lasso,80/20,0.11971674783345276,0.19331754659739508
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,80/20,0.8740625995661543,0.07312020788490325
Rg norm w/0.5,pH regr out,All,-1,GPR,80/20,0.5784310240411031,0.1337809811177731
Rg norm w/0.5,pH regr out,All,-1,Linear,85/15,-805538453.8492119,6553.405116816091
Rg norm w/0.5,pH regr out,All,-1,Ridge,85/15,0.3103566838855142,0.19175034005788621
Rg norm w/0.5,pH regr out,All,-1,Lasso,85/15,0.1052333839674876,0.2184131403145153
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,85/15,0.893675683406534,0.07529049926779988
Rg norm w/0.5,pH regr out,All,-1,GPR,85/15,0.5943351731739956,0.14706439951525482
Rg norm w/0.5,pH regr out,All,-1,Linear,90/10,-10660168595.73072,6626.259766129564
Rg norm w/0.5,pH regr out,All,-1,Ridge,90/10,-0.042799374192858286,0.06553703684962668
Rg norm w/0.5,pH regr out,All,-1,Lasso,90/10,-0.6962125959552921,0.08358465661185512
Rg norm w/0.5,pH regr out,All,-1,Kernel Ridge,90/10,0.21828252181270524,0.05674287438847988
Rg norm w/0.5,pH regr out,All,-1,GPR,90/10,0.05643796927291178,0.06234069631718088
Rg norm w/0.418,pH regr out,All,-1,Linear,80/20,-880867626.5747169,9164.73425974127
Rg norm w/0.418,pH regr out,All,-1,Ridge,80/20,0.30834621862236244,0.2568082253289257
Rg norm w/0.418,pH regr out,All,-1,Lasso,80/20,0.28148054829828195,0.26174826808650525
Rg norm w/0.418,pH regr out,All,-1,Kernel Ridge,80/20,0.8767993959101363,0.10838544636452549
Rg norm w/0.418,pH regr out,All,-1,GPR,80/20,0.581414763532556,0.1997820683991127
Rg norm w/0.418,pH regr out,All,-1,Linear,85/15,-773593491.197404,9634.253215044171
Rg norm w/0.418,pH regr out,All,-1,Ridge,85/15,0.3045093576284249,0.2888732305701072
Rg norm w/0.418,pH regr out,All,-1,Lasso,85/15,0.2589497386221977,0.29818478881514826
Rg norm w/0.418,pH regr out,All,-1,Kernel Ridge,85/15,0.8990078791733149,0.11007923405146953
Rg norm w/0.418,pH regr out,All,-1,GPR,85/15,0.5990971362043402,0.21932151242410436
Rg norm w/0.418,pH regr out,All,-1,Linear,90/10,-12383485426.22837,9741.372766172746
Rg norm w/0.418,pH regr out,All,-1,Ridge,90/10,-0.30768090328784004,0.10010357888589465
Rg norm w/0.418,pH regr out,All,-1,Lasso,90/10,-1.1214674607778456,0.12750197183733247
Rg norm w/0.418,pH regr out,All,-1,Kernel Ridge,90/10,0.066722957884224,0.08456759990030817
Rg norm w/0.418,pH regr out,All,-1,GPR,90/10,-0.11740927429191439,0.09253474864144703
Rg w/no norm,buffer regr out,All,-1,Linear,80/20,-472848390.556728,57202.51682427535
Rg w/no norm,buffer regr out,All,-1,Ridge,80/20,0.3480098930330776,2.1240986477835033
Rg w/no norm,buffer regr out,All,-1,Lasso,80/20,0.24633739612880456,2.283718987237948
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,80/20,0.34005534201009513,2.1370168098574394
Rg w/no norm,buffer regr out,All,-1,GPR,80/20,0.31094741267953985,2.183636592215343
Rg w/no norm,buffer regr out,All,-1,Linear,85/15,-442286364.71569127,60077.916207336646
Rg w/no norm,buffer regr out,All,-1,Ridge,85/15,0.3270574117309215,2.3434305760157366
Rg w/no norm,buffer regr out,All,-1,Lasso,85/15,0.21283950085491143,2.534514214305645
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,85/15,0.31769044692666115,2.3596837999048335
Rg w/no norm,buffer regr out,All,-1,GPR,85/15,0.35976579472509673,2.285769963788151
Rg w/no norm,buffer regr out,All,-1,Linear,90/10,-2978923314.9475584,60363.47574561302
Rg w/no norm,buffer regr out,All,-1,Ridge,90/10,-0.010501346471537332,1.1117650700684993
Rg w/no norm,buffer regr out,All,-1,Lasso,90/10,-0.20323597170046703,1.2131653015335329
Rg w/no norm,buffer regr out,All,-1,Kernel Ridge,90/10,-0.18972308627537138,1.2063338692082637
Rg w/no norm,buffer regr out,All,-1,GPR,90/10,-0.5825815917216928,1.3913219337062783
Rg norm w/0.427,buffer regr out,All,-1,Linear,80/20,-168862311.60531825,3878.457937639632
Rg norm w/0.427,buffer regr out,All,-1,Ridge,80/20,0.3131156381085709,0.24736288301662956
Rg norm w/0.427,buffer regr out,All,-1,Lasso,80/20,0.24590801135969043,0.2591820275213453
Rg norm w/0.427,buffer regr out,All,-1,Kernel Ridge,80/20,0.3025714068338863,0.24925426240854465
Rg norm w/0.427,buffer regr out,All,-1,GPR,80/20,0.4810260004759852,0.2150133964867524
Rg norm w/0.427,buffer regr out,All,-1,Linear,85/15,-150347251.53449667,4069.6189461640265
Rg norm w/0.427,buffer regr out,All,-1,Ridge,85/15,0.3167546561768626,0.27434328764839144
Rg norm w/0.427,buffer regr out,All,-1,Lasso,85/15,-0.0007204230214852281,0.33201857399453155
Rg norm w/0.427,buffer regr out,All,-1,Kernel Ridge,85/15,0.3057185557808294,0.2765500730438192
Rg norm w/0.427,buffer regr out,All,-1,GPR,85/15,0.5079071949479026,0.2328249433835376
Rg norm w/0.427,buffer regr out,All,-1,Linear,90/10,-989721327.7775588,4060.699833682975
Rg norm w/0.427,buffer regr out,All,-1,Ridge,90/10,0.1057644323375424,0.12205916446989998
Rg norm w/0.427,buffer regr out,All,-1,Lasso,90/10,-0.291545156246255,0.14668956490693547
Rg norm w/0.427,buffer regr out,All,-1,Kernel Ridge,90/10,0.17179833200462147,0.11746607927951444
Rg norm w/0.427,buffer regr out,All,-1,GPR,90/10,0.0870070195576701,0.12333267244778646
Rg norm w/0.5,buffer regr out,All,-1,Linear,80/20,-378411940.8371039,4064.5877736556877
Rg norm w/0.5,buffer regr out,All,-1,Ridge,80/20,0.317293615190939,0.1726438339897103
Rg norm w/0.5,buffer regr out,All,-1,Lasso,80/20,0.12744690746271425,0.19517762132714378
Rg norm w/0.5,buffer regr out,All,-1,Kernel Ridge,80/20,0.30669960363385884,0.17397819230158001
Rg norm w/0.5,buffer regr out,All,-1,GPR,80/20,0.4978954650059987,0.14805775564099824
Rg norm w/0.5,buffer regr out,All,-1,Linear,85/15,-339028082.73773116,4265.334191613194
Rg norm w/0.5,buffer regr out,All,-1,Ridge,85/15,0.3188661956481299,0.1911839560494321
Rg norm w/0.5,buffer regr out,All,-1,Lasso,85/15,-0.0031466168502951586,0.23201573172176368
Rg norm w/0.5,buffer regr out,All,-1,Kernel Ridge,85/15,0.30787102826514945,0.19272086708870248
Rg norm w/0.5,buffer regr out,All,-1,GPR,85/15,0.5222330063101711,0.16011915824549777
Rg norm w/0.5,buffer regr out,All,-1,Linear,90/10,-2042805951.5901814,4259.195500301587
Rg norm w/0.5,buffer regr out,All,-1,Ridge,90/10,0.1992476250990194,0.08432631751320682
Rg norm w/0.5,buffer regr out,All,-1,Lasso,90/10,-0.18383240360426023,0.10253192926526959
Rg norm w/0.5,buffer regr out,All,-1,Kernel Ridge,90/10,0.19925041845173663,0.08432617043068732
Rg norm w/0.5,buffer regr out,All,-1,GPR,90/10,0.1571083567520828,0.08651668921457958
Rg norm w/0.418,buffer regr out,All,-1,Linear,80/20,-149032817.04919705,3809.185153672737
Rg norm w/0.418,buffer regr out,All,-1,Ridge,80/20,0.3128527098618894,0.2586521217237827
Rg norm w/0.418,buffer regr out,All,-1,Lasso,80/20,0.26841341143521913,0.2668848946186569
Rg norm w/0.418,buffer regr out,All,-1,Kernel Ridge,80/20,0.3023225021751791,0.26062644738303964
Rg norm w/0.418,buffer regr out,All,-1,GPR,80/20,0.47869757307530103,0.22528693140333775
Rg norm w/0.418,buffer regr out,All,-1,Linear,85/15,-132619896.82177058,3996.846134918508
Rg norm w/0.418,buffer regr out,All,-1,Ridge,85/15,0.31662858987566056,0.28690722699642196
Rg norm w/0.418,buffer regr out,All,-1,Lasso,85/15,-0.0005384802244878806,0.34716024265094697
Rg norm w/0.418,buffer regr out,All,-1,Kernel Ridge,85/15,0.3055936861045576,0.28921440201543497
Rg norm w/0.418,buffer regr out,All,-1,GPR,85/15,0.5059456571938228,0.24394978843298532
Rg norm w/0.418,buffer regr out,All,-1,Linear,90/10,-881170687.1891805,3987.4253502302595
Rg norm w/0.418,buffer regr out,All,-1,Ridge,90/10,0.09406338466157038,0.12785315545560166
Rg norm w/0.418,buffer regr out,All,-1,Lasso,90/10,-0.3067775692787451,0.15355479415870452
Rg norm w/0.418,buffer regr out,All,-1,Kernel Ridge,90/10,0.16736042629001724,0.12257194246235936
Rg norm w/0.418,buffer regr out,All,-1,GPR,90/10,0.07658748918298641,0.12908043541088032
Rg w/no norm,expr pH only regr out,All,-1,Linear,80/20,-11156637071.665627,342765.9280673504
Rg w/no norm,expr pH only regr out,All,-1,Ridge,80/20,0.539471111260884,2.2022135560318126
Rg w/no norm,expr pH only regr out,All,-1,Lasso,80/20,0.3928466904853043,2.5286002454760843
