Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,80/20,0.3560278294144076,1.8966305919753201
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,80/20,0.31823263785008704,1.951494379537385
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,80/20,0.3157508237487636,1.955043131551188
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.5367586474271622,1.6086177701690936
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,80/20,0.4380019359951577,1.771807808120878
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,85/15,-0.30535843403145546,1.541670752588355
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,85/15,-0.26002426398104017,1.514663631648799
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,85/15,-0.20035603519174439,1.4783653800152377
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.2413169342336019,1.1753221985824762
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,85/15,-0.23671302239359915,1.5005871065180914
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,90/10,-0.26040875513817086,1.1190801331927358
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,90/10,-0.2531506552556526,1.1158533536256674
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,90/10,-0.16803796487689815,1.077293302133964
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,-0.7593735162466966,1.3221614956981398
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,90/10,-1.7737666524183116,1.6601236690351926
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.12841491638795444,1.5330541739075578
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.18214343324992555,1.4850503548549623
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.1509661954135455,1.5130911755528427
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,0.23603818903981266,1.4352859452252043
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,0.21255468890344942,1.4571786785124479
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.014649393714400105,1.514398234151542
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.0394657452349515,1.495206337544398
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.021374825159340638,1.5092211833653661
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.1379419937877151,1.4164881487990728
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-0.12558535440582763,1.6185790592000118
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,0.2594625090056393,1.308288055709753
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.2655362697369963,1.3029118328471336
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,0.25946247720302684,1.3082880838021709
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,0.5225109293161349,1.0505375226617368
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,0.5548155331485725,1.014378072525478
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,Linear,80/20,-0.10282884925951308,0.13465186011373248
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,Ridge,80/20,-0.08664420924363703,0.1336601619526043
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,Lasso,80/20,-0.04527892139583045,0.13109145819881596
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,-0.019155133985088613,0.12944296322557067
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,GPR,80/20,-2.5592029480465346,0.24189933488791038
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,Linear,85/15,-0.7531987683725689,0.12343277321443862
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,Ridge,85/15,-0.6545217845198363,0.11990882657319861
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,Lasso,85/15,-0.26081425782356504,0.10467439605693922
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,-0.5503968214491917,0.11607437203383225
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,GPR,85/15,-3.572088220841202,0.19932978990092773
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,Linear,90/10,-0.49693529007795845,0.08527247830235737
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,Ridge,90/10,-0.29274006443610134,0.07924337719815613
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,Lasso,90/10,-0.10402659481215037,0.07323136669827608
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,-0.7154781865073894,0.09128511599996375
Rg norm w/0.427,No regr out,All,ProtBERT,high,10,GPR,90/10,-6.933794319119574,0.19631244877127177
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.09254137225459436,0.1085526472560262
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.08594886045185368,0.10894624072101936
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.01586998141072371,0.11304549022433215
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,0.10028454659447694,0.10808852537493212
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-0.38619114820706146,0.13416479227170644
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.05581097471690033,0.10208494527407672
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.0713758948167208,0.101240015428415
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.021745940409992448,0.10391017007308849
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.11273478763514733,0.09895983290608674
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-0.9077853547165589,0.1451098795159656
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,0.12891147052808793,0.08871171929334298
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.11847206461937987,0.0892417110535523
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,0.006703281001018246,0.09473039522552314
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,0.15464486456031246,0.0873915508515131
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,0.3786395476299519,0.07492412037307646
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Linear,80/20,-0.09150895038400608,0.14115135922998215
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Ridge,80/20,-0.0769606134482077,0.14020752538889525
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Lasso,80/20,-0.0406283702654926,0.13782222116919968
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,-0.018141879020116436,0.13632501832010163
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,GPR,80/20,-2.4768732958509005,0.25192185536587525
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Linear,85/15,-0.7573343482604571,0.1293718904863291
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Ridge,85/15,-0.6585167883981238,0.12568187803228142
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Lasso,85/15,-0.2778357180432809,0.11031897988700472
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,-0.5387292774674435,0.1210580946512054
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,GPR,85/15,-3.529708748850396,0.20770543697453003
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Linear,90/10,-0.49608507139499625,0.08928250354522056
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Ridge,90/10,-0.29256287952847115,0.08298776237808174
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Lasso,90/10,-0.10780908207603712,0.07682820307350274
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,-0.7059088006632428,0.09533801817536214
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,GPR,90/10,-6.90209319352188,0.20519146330658758
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.11830614176735244,0.07558115633922873
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.10269421796889588,0.07624736810750461
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,-0.011438501059647388,0.08095140017240436
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,0.09385877216606531,0.07662183868773287
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-0.3093020690710895,0.09210316435441739
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.12363902337875377,0.07068165756860813
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.12095992688626722,0.07078961449661166
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,-0.0012394531954416088,0.07554995109078265
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.12760276240134572,0.07052163152801116
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-0.7067698486458311,0.09863991546620744
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,0.1900386239989048,0.059918898187206
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.1746619912472387,0.06048498634715975
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,0.11646760722600136,0.06258105817807245
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,0.1833578496112479,0.06016550412702935
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,0.4049924240379911,0.051356203577839
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Linear,80/20,-0.16269431216536634,0.09339938795523589
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Ridge,80/20,-0.1357977448210168,0.09231276457334166
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Lasso,80/20,-0.0341100052519856,0.08808351285188216
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,-0.021878062704323353,0.08756101643361476
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,GPR,80/20,-3.047302257042378,0.17425854197027893
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Linear,85/15,-0.6566519846761587,0.08554060567859052
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Ridge,85/15,-0.565801819871171,0.08316202869564973
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Lasso,85/15,-0.14102081923845589,0.07099102761980698
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.016780463307537463,0.06589947096952117
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,GPR,85/15,-3.63251810641711,0.1430425491880429
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Linear,90/10,-0.47069229683241587,0.059761029472578
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Ridge,90/10,-0.2706354823646906,0.05554790074212911
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Lasso,90/10,-0.07590365261480958,0.05111446886417896
Rg norm w/0.418,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,-0.7137088838179457,0.06450979851448892
