Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,80/20,-0.9027657578646695,1.5226493226501068
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,80/20,-0.8956198071070933,1.519787432762595
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,80/20,-1.1053253427527459,1.6016471274030442
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,-0.2229797383981702,1.2207222513820788
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,80/20,-0.7510199225865271,1.4606722335982611
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,85/15,-0.6202978034718858,1.473331252466185
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,85/15,-0.6735618905001375,1.4973518672314836
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,85/15,-0.6428855774676594,1.4835652021267824
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,-0.03403153590954866,1.1769821370957119
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,85/15,-0.36141092327563684,1.3505093492334526
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,90/10,-0.6608853251534996,1.5051232444702112
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,90/10,-0.6254557877261775,1.488983274843239
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,90/10,-0.6051117146177709,1.479635938032787
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,-0.25374363417383217,1.3076954401297332
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,90/10,-0.7345766377675933,1.5381510465218269
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,-0.5476179914176518,1.3815841858454143
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,-0.389473354065073,1.3090932390899526
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,-0.5307268399097911,1.374023995517133
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.6196108795066566,1.4133535408294182
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-1.0350168212622468,1.584270991687302
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,-0.5088713961409936,1.4165589534571528
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,-0.46141820276286016,1.3941060015422653
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,-0.48801363329601855,1.4067340372200803
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,-0.28520932449525316,1.3073608469501743
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-0.595894843386439,1.4568360386507349
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,-0.45902660645444193,1.5618003699951655
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,-0.3421461962452632,1.4979379648659803
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,-0.44280133641440034,1.5530920030766673
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.31906575428245687,1.4850023406849373
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,-0.6179988455202545,1.6446860895301987
