Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,80/20,-0.09530233621716366,3.721990568912984
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,80/20,-0.07010041287615332,3.678921551723685
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,80/20,-0.06948982058824749,3.6778718176867
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,-0.06955017670094832,3.6779755956329137
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,80/20,-0.23046656316453817,3.9449651379916633
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,85/15,-0.1951449413506383,1.7871739958588502
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,85/15,-0.14144584244065772,1.7465627889336413
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,85/15,-0.10877029371125535,1.721382322524553
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.057791246292587695,1.586828950478626
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,85/15,-0.9842025398791447,2.302764620986961
Rg w/no norm,No regr out,All,ProtBERT,high,10,Linear,90/10,0.21972415735736628,1.5984213403972416
Rg w/no norm,No regr out,All,ProtBERT,high,10,Ridge,90/10,0.205910419621831,1.612508220068351
Rg w/no norm,No regr out,All,ProtBERT,high,10,Lasso,90/10,0.2186922038644742,1.5994779868870777
Rg w/no norm,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.21311462363082068,1.6051769903957664
Rg w/no norm,No regr out,All,ProtBERT,high,10,GPR,90/10,-0.7716165045322652,2.408529928529027
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.3324320995498168,1.1115901719933294
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.32151112526141146,1.1206457306217004
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.33366543779772806,1.1105628604056927
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,0.34570395756817085,1.1004849869584474
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-0.74434350512119,1.7968547901694123
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.4016901231206962,1.1148252218441785
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.37481583830243437,1.1395875163767728
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.400063711549385,1.1163394322741047
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.5507838915204618,0.9659871742456757
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-0.46089904221216593,1.7420226670480923
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,0.37123021187213723,1.1771850850882581
Rg w/no norm,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.34683573595508776,1.199803503381905
