Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.07281090670961388,0.0964824243352088
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,GPR,80/20,-1.760979887553447,0.15478121056025107
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,-0.054848029752120775,0.08879289659712863
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,-0.03634922426347442,0.08801087506329061
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,-0.0070387619800393875,0.086757368250474
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.08199900477170274,0.08283327866953397
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-2.38629030278536,0.15909091116887442
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,-0.1178550489925243,0.08858077044476599
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,-0.1078945492857879,0.0881852437760418
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,-0.08869767473223589,0.08741789702002487
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.057225567343534456,0.08614509129703754
Rg norm w/0.427,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,-2.8566444566064133,0.16453242872394336
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Linear,80/20,-0.8433833093452239,0.1501952038550955
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Ridge,80/20,-0.7313317689515195,0.14555877376750553
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Lasso,80/20,-0.343173429344267,0.12820775197160839
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,-0.06524275772030941,0.11417539804327453
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,GPR,80/20,-5.865057073230532,0.28984800485353557
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Linear,85/15,-0.9118071397734762,0.13999340416623945
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Ridge,85/15,-0.8302350738683701,0.13697426273407357
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Lasso,85/15,-0.20354104242048732,0.11107491436936277
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.028722433944642023,0.09978315085519845
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,GPR,85/15,-5.246607192333999,0.2530507524940766
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Linear,90/10,-0.4887511408097551,0.1159993331772786
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Ridge,90/10,-0.40787668292491497,0.1128045837146164
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Lasso,90/10,-0.21202302090912095,0.10466461335697112
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.08523088039379667,0.09092853349008137
Rg norm w/0.5,No regr out,All,ProtBERT,high,10,GPR,90/10,-5.145130153089247,0.23567308229854286
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Linear,80/20,-0.2982443004281967,0.07037845626676045
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,80/20,-0.12834889957588147,0.06561199286576266
