Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,85/15,0.24527185223239123,1.2940568773345245
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,85/15,0.27134248392405147,1.2715101050082709
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,85/15,0.29358983114555104,1.2519487839040078
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,85/15,0.2420177432362235,1.2968436243415136
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,85/15,-0.4416573288655339,1.7885006961570813
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,90/10,0.21907996866933843,1.3748668368573527
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,90/10,0.24646801219070935,1.3505423321161596
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,90/10,0.269891147940333,1.329386187117064
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,90/10,0.21768576195827594,1.376093591006826
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,90/10,-0.7010649116600411,2.029167034095113
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,80/20,0.24805317842238905,1.2237669239124203
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,80/20,0.24584869664368414,1.225559469234141
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,80/20,0.2414421844690685,1.229134731222898
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,80/20,0.20240268597054312,1.2603668975707325
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,80/20,-0.015025763217223487,1.421816925051587
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,85/15,0.19362000841978078,1.3376052451478513
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,85/15,0.1810850688698391,1.3479614939930737
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,85/15,0.16883276473110054,1.3580079079775023
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,85/15,0.13941801088033356,1.3818287293599525
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,85/15,-0.28536991810757506,1.6887764237879286
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,90/10,0.13569851272203914,1.4464052354808399
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,90/10,0.12812023114753524,1.452732508834678
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,90/10,0.12948273943747457,1.4515969543346374
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,90/10,0.10245705278626349,1.4739575441129218
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,90/10,-0.5015403028563243,1.9064518969809132
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,80/20,0.2848190683891272,1.193474406541307
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,80/20,0.30378897561093865,1.1775397999942303
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,80/20,0.2923551462030797,1.1871697536283512
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,80/20,0.28306854358210964,1.1949341278541759
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,80/20,-0.16108215543465243,1.5206757561953934
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,85/15,0.26390821245300267,1.2779800599747524
