Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,0,106,Linear,80/20,-0.13501768860410812,2.738340130299121
Rg w/no norm,No regr out,All,ESM-6,0,106,Ridge,80/20,0.28514683892787995,2.173173983213678
Rg w/no norm,No regr out,All,ESM-6,0,106,Lasso,80/20,0.26474739670768366,2.203963315842543
Rg w/no norm,No regr out,All,ESM-6,0,106,Kernel Ridge,80/20,0.32374632812708715,2.1136880605483794
Rg w/no norm,No regr out,All,ESM-6,0,106,GPR,80/20,0.6906887255856169,1.4294993140773296
Rg w/no norm,No regr out,All,ESM-6,0,112,Linear,85/15,-0.14066193949698258,3.0241981899580925
Rg w/no norm,No regr out,All,ESM-6,0,112,Ridge,85/15,0.2610276893682102,2.4341417009097617
Rg w/no norm,No regr out,All,ESM-6,0,112,Lasso,85/15,0.2425277181971346,2.4644223935047243
Rg w/no norm,No regr out,All,ESM-6,0,112,Kernel Ridge,85/15,0.3073426160561684,2.3566278618619543
Rg w/no norm,No regr out,All,ESM-6,0,112,GPR,85/15,0.6822797556840957,1.596078390638638
Rg w/no norm,No regr out,All,ESM-6,0,120,Linear,90/10,-1.7450181798526705,2.5818066899872676
Rg w/no norm,No regr out,All,ESM-6,0,120,Ridge,90/10,0.29953514167040896,1.3042002685270364
Rg w/no norm,No regr out,All,ESM-6,0,120,Lasso,90/10,0.28144985167431635,1.320929535538535
Rg w/no norm,No regr out,All,ESM-6,0,120,Kernel Ridge,90/10,0.20088450344212927,1.3930152972350285
Rg w/no norm,No regr out,All,ESM-6,0,120,GPR,90/10,-0.36771620876289113,1.8224226573857254
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Linear,80/20,0.07075167251184156,1.7031111277007782
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Ridge,80/20,0.46542743887011206,1.2917558115813281
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Lasso,80/20,0.47877227511893605,1.27553049686873
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Kernel Ridge,80/20,0.46453813259123344,1.2928298371366325
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,GPR,80/20,0.490187961962683,1.2614851299431158
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Linear,85/15,0.4069108856155893,1.297527900623277
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Ridge,85/15,0.5798308697243089,1.0921160749499437
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Lasso,85/15,0.5954376180248607,1.0716413863521175
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Kernel Ridge,85/15,0.6028906649203927,1.0617243479258436
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,GPR,85/15,0.6425628494073028,1.007294756859622
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Linear,90/10,0.3711993220223794,1.1293127879558824
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Ridge,90/10,0.5719986861634426,0.9317090123607032
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Lasso,90/10,0.5727311699712128,0.9309114049873517
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Kernel Ridge,90/10,0.6405003389555209,0.8538999496491627
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,GPR,90/10,0.6970865288496022,0.7838212604796385
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,80/20,0.45349246769265605,1.3060962077923246
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,80/20,0.46558297503761115,1.2915678769778098
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,80/20,0.47877227511893605,1.27553049686873
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,80/20,0.4645821671115048,1.2927766771306661
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,80/20,-0.05814445521598066,1.8173960204458819
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,85/15,0.5705350491723832,1.104130970469968
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,85/15,0.5799298968608064,1.0919873702298233
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,85/15,0.5954376180248607,1.0716413863521175
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,85/15,0.6029139376415105,1.061693236120474
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,85/15,0.44400933447833846,1.2562916663001793
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,90/10,0.523096980772542,0.9834964152267768
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,90/10,0.5722264392726117,0.9314610833770758
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,90/10,0.5727311699712128,0.9309114049873517
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,90/10,0.6405587951366016,0.8538305229364513
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,90/10,0.3988130994147667,1.1042375206626727
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,80/20,0.45362592369318633,1.305936725069299
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,80/20,0.4535433510328508,1.306035403429402
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,80/20,0.4513748822007906,1.3086241659824989
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,80/20,0.46506426383511623,1.2921945301425626
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,80/20,-0.33322152313480924,2.039990995968116
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,85/15,0.4705888314933121,1.2258950126499188
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,85/15,0.4921870565834544,1.2006283993013998
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,85/15,0.4969208352537856,1.1950192310564414
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,85/15,0.5344877187942954,1.149535268484161
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,85/15,-0.026538298709675168,1.7070423952475995
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,90/10,0.3716378766452729,1.1289189018274512
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,90/10,0.4370644391975441,1.068530904044252
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,90/10,0.4597077121285441,1.0468202846860903
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,90/10,0.518598945437384,0.9881235818553232
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,90/10,-0.4456358122525621,1.7123289311352876
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,80/20,0.08212260927469606,2.462512322070683
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,80/20,0.2851232127317759,2.17320989507171
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,80/20,0.26474739670768366,2.203963315842543
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,80/20,0.3237436512715428,2.113692243913469
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,80/20,0.562559291396431,1.6999872898060377
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,85/15,0.20024660087211732,2.5322688991185998
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,85/15,0.261006784777282,2.434176130059491
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,85/15,0.2425277181971346,2.4644223935047243
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,85/15,0.3073145948536611,2.3566755296413175
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,85/15,0.5978842940595561,1.7955904706607062
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,90/10,-0.40907648652623774,1.8497728175630148
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,90/10,0.2994860601641893,1.3042459603212349
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,90/10,0.28144985167431635,1.320929535538535
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,90/10,0.20082547324527433,1.3930667468997253
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,90/10,-0.6623187462326803,2.0091310271087583
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,80/20,0.3058242527869056,1.47201356000506
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,80/20,0.4654274388701123,1.291755811581328
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,80/20,0.47877227511893605,1.27553049686873
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,80/20,0.4645381325912369,1.2928298371366285
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,80/20,-0.05765910710125133,1.8169791723975361
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,85/15,0.5302094870476306,1.1548055165424067
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,85/15,0.5798308697243069,1.0921160749499463
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,85/15,0.5954376180248607,1.0716413863521175
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,85/15,0.6028906649203905,1.0617243479258465
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,85/15,0.44439170540052186,1.2558595978751348
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,90/10,0.5695795073868877,0.934338437263201
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,90/10,0.5719986861634374,0.9317090123607088
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,90/10,0.5727311699712128,0.9309114049873517
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,90/10,0.6405003389555203,0.8538999496491635
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,90/10,0.399346664536098,1.1037473957015875
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,80/20,-0.030181389306637385,2.6088128566326634
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,80/20,0.2851468389278793,2.1731739832136787
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,80/20,0.26474739670768366,2.203963315842543
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,80/20,0.32374632812708115,2.1136880605483888
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,80/20,0.5624771287659992,1.7001469330064067
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,85/15,0.05201718838276981,2.7569697773761193
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,85/15,0.2610276893682092,2.434141700909763
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,85/15,0.2425277181971346,2.4644223935047243
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,85/15,0.30734261605614266,2.356627861861998
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,85/15,0.597880025520759,1.795600000911744
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,90/10,-0.699522533586026,2.031489457439932
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,90/10,0.2995351416704082,1.3042002685270373
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,90/10,0.28144985167431635,1.320929535538535
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,90/10,0.20088450344214215,1.3930152972350172
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,90/10,-0.6621741367130687,2.009043635387916
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,80/20,0.09134725305599856,1.6841317536758809
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,80/20,0.46542743887011195,1.2917558115813281
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,80/20,0.47877227511893605,1.27553049686873
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,80/20,0.4645381325912348,1.292829837136631
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,80/20,0.4901879619627033,1.2614851299430907
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,85/15,0.4002747622141969,1.3047667816091164
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,85/15,0.5798308697243086,1.092116074949944
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,85/15,0.5954376180248607,1.0716413863521175
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,85/15,0.602890664920394,1.0617243479258416
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,85/15,0.6425628494073024,1.0072947568596224
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,90/10,0.5292713659407764,0.9771090905761263
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,90/10,0.5719986861634425,0.9317090123607035
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,90/10,0.5727311699712128,0.9309114049873517
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,90/10,0.640500338955521,0.8538999496491625
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,90/10,0.6970865288495987,0.7838212604796431
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,80/20,0.2837997043683651,2.175220683147832
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,80/20,0.267218275078524,2.20025689700672
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,80/20,0.2338818944738612,2.2497483354430075
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,80/20,0.29661025843427236,2.155679001156075
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,80/20,0.49319358814393477,1.8298147601114017
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,85/15,0.2602495059450034,2.4354230143479527
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,85/15,0.26111595401825727,2.433996326666235
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,85/15,0.2591915610830533,2.437163886939999
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,85/15,0.2593771661738702,2.436858559450631
