mean_R2,n_obs,Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type
0.2320753934104216,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,4,50,Kernel Ridge
0.23088156425774492,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,8,116,Kernel Ridge
0.22681523376004945,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,1,20,Kernel Ridge
0.2263643422014784,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,2,50,Kernel Ridge
0.22610640393207956,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,3,104,Kernel Ridge
0.22468189982609837,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,2,100,Kernel Ridge
0.2245814651605654,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,9,104,Kernel Ridge
0.224008540073286,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,12,116,Kernel Ridge
0.22346320475265805,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,3,116,Kernel Ridge
0.2233296267359318,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,0,50,Kernel Ridge
0.22332962673592807,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,0,100,Kernel Ridge
0.2232686478722768,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,0,20,Kernel Ridge
0.2216469790174892,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,3,20,Kernel Ridge
0.22107294565619542,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,10,100,Kernel Ridge
0.21867727340003515,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,12,104,Kernel Ridge
0.2151947901875335,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,11,100,Kernel Ridge
0.21498480861807615,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,7,50,Kernel Ridge
0.21302553146720574,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,8,104,Kernel Ridge
0.21240295369934448,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,3,50,Kernel Ridge
0.2109186911144243,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,6,104,Kernel Ridge
0.20867211511048472,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,3,100,Kernel Ridge
0.20735554701929398,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,11,50,Kernel Ridge
0.2062439925216369,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,5,50,Kernel Ridge
0.20417839170280802,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,7,110,Kernel Ridge
0.20317811361121402,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,9,100,Kernel Ridge
0.20236667533636277,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,12,100,Kernel Ridge
0.20230984989351564,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,5,104,Kernel Ridge
0.20104592799824877,5,Rg norm w/0.5,No regr out,Inliers,ESM-6,4,110,Kernel Ridge
0.2008232608733567,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,5,100,Kernel Ridge
0.200330429284709,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,5,110,Kernel Ridge
0.1995089212714151,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,4,20,Kernel Ridge
0.19934892759911232,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,8,100,Kernel Ridge
0.19807582361558676,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,4,110,Kernel Ridge
0.19727799809044297,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,0,104,Kernel Ridge
0.19687392587683591,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,6,100,Kernel Ridge
0.19498123036035636,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,0,50,Kernel Ridge
0.1949812303603477,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,0,100,Kernel Ridge
0.19448116704330137,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,0,20,Kernel Ridge
0.1925049087927739,5,Rg norm w/0.5,No regr out,Inliers,ESM-12,2,110,Kernel Ridge
0.1918981073797741,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,11,20,Kernel Ridge
0.18896807018087722,15,Rg norm w/0.5,No regr out,Inliers,ESM-6,1,10,Kernel Ridge
0.18689033872830219,15,Rg norm w/0.5,No regr out,Inliers,ESM-12,9,20,Kernel Ridge
