Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,0,106,Linear,80/20,-2.5727402299810542,3.0468505952244307
Rg w/no norm,No regr out,All,ESM-6,0,106,Ridge,80/20,0.06455411468490235,1.5590490291299912
Rg w/no norm,No regr out,All,ESM-6,0,106,Lasso,80/20,-0.012911364782379753,1.6223186491266772
Rg w/no norm,No regr out,All,ESM-6,0,106,Kernel Ridge,80/20,0.02713604358401156,1.5899244770257563
Rg w/no norm,No regr out,All,ESM-6,0,106,GPR,80/20,-0.029070937026711263,1.6352083463007638
Rg w/no norm,No regr out,All,ESM-6,0,112,Linear,85/15,-2.8295189828389398,3.3127176074116313
Rg w/no norm,No regr out,All,ESM-6,0,112,Ridge,85/15,0.052690430982078706,1.6476245894663542
Rg w/no norm,No regr out,All,ESM-6,0,112,Lasso,85/15,-0.17782285983252133,1.8371824675790769
Rg w/no norm,No regr out,All,ESM-6,0,112,Kernel Ridge,85/15,0.036207071649966394,1.6618972547054565
Rg w/no norm,No regr out,All,ESM-6,0,112,GPR,85/15,0.008676713530206603,1.6854658468877182
Rg w/no norm,No regr out,All,ESM-6,0,120,Linear,90/10,-2.367645453085825,3.50141909353181
Rg w/no norm,No regr out,All,ESM-6,0,120,Ridge,90/10,-0.49192588458319486,2.3305291469764136
Rg w/no norm,No regr out,All,ESM-6,0,120,Lasso,90/10,-0.7195231235402204,2.501986284328799
Rg w/no norm,No regr out,All,ESM-6,0,120,Kernel Ridge,90/10,0.006745908008066737,1.9015646524775
Rg w/no norm,No regr out,All,ESM-6,0,120,GPR,90/10,0.12410828916942829,1.7856902302508095
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Linear,80/20,0.28732203367956066,1.2480603607591305
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Ridge,80/20,0.41436821476525976,1.131361104653016
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Lasso,80/20,0.39544539963285985,1.1494939479083832
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Kernel Ridge,80/20,0.3577920842750856,1.1847500918735885
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,GPR,80/20,0.40780876262278,1.1376794470650171
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Linear,85/15,0.11157387580920586,1.4354966627388877
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Ridge,85/15,0.3526018150349146,1.225398277919321
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Lasso,85/15,0.2906182874335399,1.2827189806937338
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Kernel Ridge,85/15,0.3013414036559613,1.2729871813256826
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,GPR,85/15,0.3698987026380315,1.2089176376979824
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Linear,90/10,0.052835501929919704,1.6018402612150984
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Ridge,90/10,0.3578487244886531,1.3189404094168578
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Lasso,90/10,0.3286018055997936,1.348641700195271
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Kernel Ridge,90/10,0.3251231275279717,1.3521310073614112
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,GPR,90/10,0.39812853092239286,1.2769043834418297
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,80/20,0.3553612163298734,1.1869902159826624
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,80/20,0.41436821476525654,1.1313611046530192
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,80/20,0.39544539963285985,1.1494939479083832
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,80/20,0.3577920842751119,1.1847500918735643
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,80/20,0.11099189650061592,1.393932627788002
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,85/15,0.26680473171877284,1.3040713499732024
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,85/15,0.35260181503491306,1.2253982779193227
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,85/15,0.2906182874335399,1.2827189806937338
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,85/15,0.30134140365598927,1.272987181325657
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,85/15,0.21095609792986358,1.3528265278764922
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,90/10,0.1866642534267834,1.4843674748871134
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,90/10,0.357848724488653,1.318940409416858
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,90/10,0.3286018055997936,1.348641700195271
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,90/10,0.3251231275279365,1.3521310073614463
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,90/10,0.42933899118952235,1.2433563005139217
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,80/20,0.4375076052953578,1.1087847684362224
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,80/20,0.4143721639812634,1.131357289971995
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,80/20,0.39544539963285985,1.1494939479083832
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,80/20,0.3577933699794731,1.184748905934334
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,80/20,0.11093115853482383,1.3939802444440736
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,85/15,0.38094148779591475,1.1982774229536883
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,85/15,0.3526062085561992,1.2253941198735654
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,85/15,0.2906182874335399,1.2827189806937338
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,85/15,0.3013448760311863,1.2729840179103424
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,85/15,0.21076161187425047,1.3529932421010418
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,90/10,0.36896483694918847,1.3074746567317885
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,90/10,0.3578481362827629,1.3189410134866226
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,90/10,0.3286018055997936,1.348641700195271
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,90/10,0.3251212367835645,1.3521329014345773
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,90/10,0.4292375941700287,1.243466757528977
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,80/20,0.3115472036531647,1.226665096505603
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,80/20,0.30720826101233767,1.2305245257587358
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,80/20,0.30009325202525117,1.2368271620240805
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,80/20,0.2549915869230466,1.2760553492870632
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,80/20,-0.5896920378242199,1.8639979200756889
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,85/15,0.21485175461450357,1.3494828173899538
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,85/15,0.2107878236492775,1.3529707744604218
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,85/15,0.2017433337596205,1.3607013132536578
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,85/15,0.166289681355268,1.3905900426193663
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,85/15,-0.13466994905771346,1.622281827939503
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,90/10,0.2811388201397278,1.3954973470364431
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,90/10,0.26200478777673253,1.413947458695945
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,90/10,0.28112280091704434,1.3955128956978846
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,90/10,0.23595936157664477,1.4386817314511744
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,90/10,0.08523757256453557,1.5742027206975795
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,80/20,0.2671497568169492,1.2656002211878405
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,80/20,0.41436821476525976,1.131361104653016
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,80/20,0.39544539963285985,1.1494939479083832
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,80/20,0.357792084275097,1.184750091873578
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,80/20,0.4078087626227799,1.1376794470650173
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,85/15,0.08467725242877211,1.4570640892320956
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,85/15,0.3526018150349143,1.2253982779193213
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,85/15,0.2906182874335399,1.2827189806937338
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,85/15,0.3013414036559495,1.2729871813256932
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,85/15,0.3698987026380235,1.20891763769799
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,90/10,0.05206930505094032,1.6024880245678754
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,90/10,0.35784872448865346,1.3189404094168575
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,90/10,0.3286018055997936,1.348641700195271
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,90/10,0.32512312752797146,1.3521310073614112
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,90/10,0.39812853092239875,1.2769043834418232
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,80/20,-0.12478624268450611,1.7095642860350004
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,80/20,0.03973090705715643,1.5795992327143502
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,80/20,-0.17224813033183106,1.7452603129973971
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,80/20,0.21004143079228876,1.4326912084388752
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,80/20,-0.794841461755869,2.1595511020163163
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,85/15,0.07126789367031716,1.6313890103175392
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,85/15,0.12278374211058707,1.5854977817302116
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,85/15,0.07751286244343214,1.6258948760880092
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,85/15,0.2568725373816728,1.4592979026238235
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,85/15,-0.5295110467617818,2.093575424567551
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,90/10,0.1508074883577173,1.7582636281868231
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,90/10,0.14066559464060635,1.7687319236477557
