Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,0,106,Linear,80/20,-3.0738731770616017,3.3961559176744935
Rg w/no norm,No regr out,All,ESM-6,0,106,Ridge,80/20,0.2985301102090886,1.4092511081524492
Rg w/no norm,No regr out,All,ESM-6,0,106,Lasso,80/20,-0.06200462616306557,1.7339919315346874
Rg w/no norm,No regr out,All,ESM-6,0,106,Kernel Ridge,80/20,0.25481390229244527,1.4525003311025897
Rg w/no norm,No regr out,All,ESM-6,0,106,GPR,80/20,0.02321846920173043,1.6629630044491823
Rg w/no norm,No regr out,All,ESM-6,0,112,Linear,85/15,-3.4414557260668257,3.5999302693028175
Rg w/no norm,No regr out,All,ESM-6,0,112,Ridge,85/15,0.3451567784114725,1.3822929343962969
Rg w/no norm,No regr out,All,ESM-6,0,112,Lasso,85/15,-0.05365409104129282,1.7533977656221058
Rg w/no norm,No regr out,All,ESM-6,0,112,Kernel Ridge,85/15,0.18295825934049725,1.5440222058594968
Rg w/no norm,No regr out,All,ESM-6,0,112,GPR,85/15,0.08307239906823527,1.6356822575230692
Rg w/no norm,No regr out,All,ESM-6,0,120,Linear,90/10,-2.2114508032604103,3.321128600232452
Rg w/no norm,No regr out,All,ESM-6,0,120,Ridge,90/10,0.35721263434171635,1.4858286281959936
Rg w/no norm,No regr out,All,ESM-6,0,120,Lasso,90/10,0.2896536999134445,1.5619607530731763
Rg w/no norm,No regr out,All,ESM-6,0,120,Kernel Ridge,90/10,0.17226412406763336,1.6860907482292373
Rg w/no norm,No regr out,All,ESM-6,0,120,GPR,90/10,-0.042567264882444,1.8922874027500418
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Linear,80/20,-0.931656151163109,1.6222122944699184
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Ridge,80/20,0.4458529738507674,0.8688709582206326
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Lasso,80/20,0.47897698055840254,0.8425025684314692
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Kernel Ridge,80/20,0.4774867119238252,0.8437066022065641
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,GPR,80/20,0.5454076610185798,0.7869621304187734
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Linear,85/15,-0.4298479090271803,1.4912222243796511
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Ridge,85/15,0.6101997243593094,0.778607380616735
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Lasso,85/15,0.5556230856907477,0.831329495914224
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Kernel Ridge,85/15,0.5976308662371128,0.7910606363065222
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,GPR,85/15,0.6466181153881052,0.741343674862813
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Linear,90/10,-1.2169954857163292,1.6595487787781624
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Ridge,90/10,0.430260419647159,0.8412901678327561
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Lasso,90/10,0.37741505694722,0.879441436375434
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Kernel Ridge,90/10,0.4583430599620488,0.8202944508688945
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,GPR,90/10,0.5005536876441634,0.7876839986262815
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,80/20,0.32441543802155404,0.9593622739434248
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,80/20,0.4458079740062788,0.8689062361003488
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,80/20,0.47897698055840254,0.8425025684314692
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,80/20,0.4774353139503501,0.8437480975562408
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,80/20,-0.03746961844990082,1.1888593332826896
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,85/15,0.5286747664357547,0.8561656328909862
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,85/15,0.6102166199400775,0.7785905063772083
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,85/15,0.5556230856907477,0.831329495914224
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,85/15,0.5975808465214698,0.7911098043404455
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,85/15,0.28456107978499856,1.0548330445331746
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,90/10,0.2614772026504413,0.9578325039039168
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,90/10,0.43032597119863036,0.8412417689993278
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,90/10,0.37741505694722,0.879441436375434
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,90/10,0.4582619818958795,0.8203558415704838
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,90/10,0.2892971758953238,0.9396186715990392
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,80/20,0.24222397265358475,1.0160456219196694
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,80/20,0.4458529738507775,0.8688709582206248
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,80/20,0.47897698055840254,0.8425025684314692
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,80/20,0.47748671192379744,0.8437066022065866
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,80/20,-0.0370258998639057,1.1886050726330042
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,85/15,0.47314504695064163,0.9051967351652904
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,85/15,0.6101997243593172,0.7786073806167271
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,85/15,0.5556230856907477,0.831329495914224
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,85/15,0.5976308662371372,0.7910606363064981
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,85/15,0.28466974475041407,1.05475293444564
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,90/10,0.1917944885239068,1.0020018457614348
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,90/10,0.43026041964717354,0.8412901678327452
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,90/10,0.37741505694722,0.879441436375434
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,90/10,0.4583430599620495,0.820294450868894
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,90/10,0.2893527176894348,0.9395819550385427
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,80/20,0.24963877318037908,1.011062424071544
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,80/20,0.2646943227736287,1.000867846269871
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,80/20,0.3333785669680287,0.9529769893568263
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,80/20,0.33703836167536705,0.9503574364298798
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,80/20,-0.6817646194456375,1.5136497156989233
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,85/15,0.37080909432662756,0.9892103771258345
