Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,0,106,Linear,80/20,-2.2664010810845387,3.0438187542647483
Rg w/no norm,No regr out,All,ESM-6,0,106,Ridge,80/20,0.32083428425740357,1.3879438937977064
Rg w/no norm,No regr out,All,ESM-6,0,106,Lasso,80/20,0.2192287776679036,1.488147339013494
Rg w/no norm,No regr out,All,ESM-6,0,106,Kernel Ridge,80/20,0.3365152708153204,1.3718274824674965
Rg w/no norm,No regr out,All,ESM-6,0,106,GPR,80/20,0.17714376389461062,1.5277279200807283
Rg w/no norm,No regr out,All,ESM-6,0,112,Linear,85/15,-1.4286544705509976,2.7255709095690217
Rg w/no norm,No regr out,All,ESM-6,0,112,Ridge,85/15,-0.02767895716565416,1.7729780202235608
Rg w/no norm,No regr out,All,ESM-6,0,112,Lasso,85/15,-0.18235042131008905,1.9017250400311523
Rg w/no norm,No regr out,All,ESM-6,0,112,Kernel Ridge,85/15,0.22965825690707298,1.5350281198409637
Rg w/no norm,No regr out,All,ESM-6,0,112,GPR,85/15,0.1962879682385964,1.56792344669855
Rg w/no norm,No regr out,All,ESM-6,0,120,Linear,90/10,-1.674309506297475,3.150269669656934
Rg w/no norm,No regr out,All,ESM-6,0,120,Ridge,90/10,0.28834582039976075,1.6250861912312355
Rg w/no norm,No regr out,All,ESM-6,0,120,Lasso,90/10,0.1985953169467517,1.7245184131364433
Rg w/no norm,No regr out,All,ESM-6,0,120,Kernel Ridge,90/10,0.2684465755004539,1.647649844330983
Rg w/no norm,No regr out,All,ESM-6,0,120,GPR,90/10,0.1484257591544701,1.7776782378609777
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Linear,80/20,0.37209922314311317,1.138447275814365
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Ridge,80/20,0.5868073111656047,0.9235145160896165
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Lasso,80/20,0.6561767300469972,0.8424323684331254
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,Kernel Ridge,80/20,0.6843338073798895,0.8072005480000468
Rg w/no norm,No regr out,Inliers,ESM-6,0,104,GPR,80/20,-0.02477729253890848,1.4543942832153747
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Linear,85/15,0.2665690560174675,1.16253986346549
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Ridge,85/15,0.6999534191959063,0.7435712340400573
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Lasso,85/15,0.6675304811909631,0.7827159008370295
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,Kernel Ridge,85/15,0.6779286146882018,0.7703787766672394
Rg w/no norm,No regr out,Inliers,ESM-6,0,110,GPR,85/15,0.706014914812428,0.7360221564144256
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Linear,90/10,0.19947177986162212,1.2601679268075028
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Ridge,90/10,0.6383060340096689,0.8470532842513571
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Lasso,90/10,0.6322945697650773,0.8540634188560481
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,Kernel Ridge,90/10,0.6228980973227223,0.8649070968972727
Rg w/no norm,No regr out,Inliers,ESM-6,0,116,GPR,90/10,0.6609001501149563,0.8201700337991544
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,80/20,0.6887333952633934,0.8015556436167695
