channel_index,aa_label,ig_score
0,-,0.0
1,M,0.25223097307389253
2,R,0.8396947709697997
3,H,0.6049213653459447
4,K,2.299507877061842
5,D,1.3320767324476037
6,E,3.625010316260159
7,S,4.3795050576809444
8,T,2.2607599164475687
9,N,1.1294706501066685
10,Q,1.992868464672938
11,C,-0.0428487057761231
12,U,-0.001071953014616156
13,G,2.7071472324569186
14,P,2.7557744228397496
15,A,-13.99380139587447
16,V,1.75893585360609
17,I,0.8810803380038124
18,F,0.7931821755628334
19,Y,0.26166497063968563
20,W,0.052187678065820364
21,L,2.229873785545351
22,O,0.0
23,X,0.0
24,start,0.0
25,stop,0.0
